CIV102H1 - Structures and Materials - An Introduction to Engineering Design,AER201H1 - Engineering Design,ACT370H1 -,ACT460H1 -
CSC180H1 - Introduction to Computer Programming,AER210H1 - Vector Calculus and Fluid Mechanics,AER301H1 - Dynamics,AER302H1 - Aircraft Flight
CSC190H1 - Computer Algorithms and Data Structures,BME205H1 - Biomolecules and Cells,AER302H1 - Aircraft Flight,AER307H1 - Aerodynamics
ECE159H1 - Fundamentals of Electric Circuits,CHE260H1 - Thermodynamics and Heat Transfer,AER303H1 - Aerospace Laboratory I,AER336H1 - Scientific Computing
ESC101H1 - Praxis I,ECE253H1 - Digital and Computer Systems,AER304H1 - Aerospace Laboratory II,AER406H1 - Aircraft Design
ESC102H1 - Praxis II,ECE259H1 - Electromagnetism,AER307H1 - Aerodynamics,AER407H1 - Space Systems Design
ESC103H1 - Engineering Mathematics and Computation,ECE286H1 - Probability and Applications,AER310H1 - Gasdynamics,AER501H1 - Advanced Mechanics of Structures
ESC180H1 - Introduction to Computer Programming,ESC203H1 - Engineering and Society,AER315H1 - Combustion Processes,AER503H1 - Aeroelasticity
MAT185H1 - Linear Algebra,MAT292H1 - Calculus III,AER336H1 - Scientific Computing,AER506H1 - Spacecraft Dynamics and Control
MAT194H1 - Calculus I,PHY293H1 - Waves and Modern Physics,AER372H1 - Control Systems,AER507H1 - Introduction to Fusion Energy
MAT195H1 - Calculus II,PHY294H1 - Quantum and Thermal Physics,AER373H1 - Mechanics of Solids and Structures,AER510H1 - Aerospace Propulsion
MSE160H1 - Molecules and Materials,STA286H1 - Probability and Statistics,AER507H1 - Introduction to Fusion Energy,AER521H1 - Mobile Robotics and Perception
PHY180H1 - Classical Mechanics,,APM384H1 - Partial Differential Equations,AER525H1 - Robotics
ESC180H1 - Introduction to Computer Programming,,APS305H1 - Energy Policy,APM384H1 - Partial Differential Equations
,,APS360H1 - Artificial Intelligence Fundamentals,APM446H1 - Applied Nonlinear Equations
,,AST320H1 -,APM466H1 - Mathematical Theory of Finance
,,AST325H1 -,APS301H1 - Technology in Society and the Biosphere I
,,"BME344H1 - ""Modeling, Dynamics, and Control of Biological Systems""",BME350H1 - Biomedical Engineering I: Organ Systems
,,BME346H1 - Biomedical Engineering and Omics Technologies,BME395H1 - Biomedical Engineering II: Cells and Tissues
,,BME350H1 - Biomedical Engineering I: Organ Systems,BME428H1 - Biomedical Engineering IV: Computational Systems Biology
,,BME358H1 - Molecular Biophysics,BME430H1 - Human Whole Body Biomechanics
,,BME395H1 - Biomedical Engineering II: Cells and Tissues,BME445H1 - Neural Bioelectricity
,,BME396H1 - Biomedical Engineering III: Molecules and Cells,BME489H1 - Biomedical Systems Engineering Design
,,BME460H1 - Biomaterial and Medical Device Product Development,BME595H1 - Medical Imaging
,,BME510H1 - Regenerative Medicine,CHE374H1 - Economic Analysis and Decision Making
,,BME595H1 - Medical Imaging,CHE412H1 - Advanced Reactor Design
,,CHE308H1 - Chemical Processes for Energy Generation and Storage,CHE451H1 - Petroleum Processing
,,CHE374H1 - Economic Analysis and Decision Making,CHE467H1 - Environmental Engineering
,,CHE375H1 - Engineering Finance and Economics,CHE469H1 - Fuel Cells and Electrochemical Conversion Devices
,,CHE390H1 - Physical and Inorganic Chemistry,CHE471H1 - Modelling in Biological and Chemical Systems
,,CHE391H1 - Organic Chemistry and Biochemistry,CHE507H1 - Data-based Modelling for Prediction and Control
,,CHE471H1 - Modelling in Biological and Chemical Systems,"CHE562H1 - ""Applied Chemistry IV - Applied Polymer Chemistry, Science and Engineering"""
,,CHE475H1 - Biocomposites: Mechanics and Bioinspiration,CHE565H1 - Aqueous Process Engineering
,,"CHE562H1 - ""Applied Chemistry IV - Applied Polymer Chemistry, Science and Engineering""",CHE566H1 - Elements of Nuclear Engineering
,,CHE568H1 - Nuclear Engineering,CHE568H1 - Nuclear Engineering
,,CHM325H1 - Materials Chemistry,CHM434H1 -
,,CIV301H1 - Design of Hydro and Wind Electric Plants,CHM446H1 -
,,CIV352H1 - Structural Design 1,CIV280H1 - Management of Construction
,,CIV355H1 - Urban Operations Research,CIV380H1 - Sustainable Energy Systems
,,CIV357H1 - Structural Design 2,CIV401 - Design of Wind and Hydro Plants
,,CIV360H1 - Road Transportation Performance,CIV416H1 - Reinforced Concrete II
,,CIV516H1 - Public Transit Operations and Planning,CIV440H1 - Environmental Impact and Risk Assessment
,,CIV531H1 - Transport Planning,CIV455H1 - Collaborative Design Project I
,,CME321H1 - Geotechnical Engineering I,CIV456H1 - Collaborative Design Project II
,,CSB435H1 -,CIV460H1 - Engineering Project Finance and Management
,,CSB450H1 -,CIV510H1 - Solid Mechanics II
,,CSC263H1 - Algorithms and Data Structures,CIV514H1 - Concrete Technology
,,CSC384H1 - Introduction to Artificial Intelligence,CIV515H1 - Introduction to Structural Dynamics
,,CSC411H1 - Machine Learning and Data Mining,CIV517H1 - Prestressed Concrete
,,ECE318H1 - Fundamentals of Optics,CIV518H1 - Behaviour and Design of Steel Structures
,,ECE342H1 - Computer Hardware,CIV523H1 - Geotechnical Design
,,ECE349H1 - Introduction to Energy Systems,CIV575H1 - Studies in Building Science
