Course Names,descriptions,prereq,Breadth requirements,distribution requirements
APS100H1 - Orientation to Engineering,"This course is designed to help students transition into first-year engineering studies and to develop and apply a greater understanding of the academic learning environment, the field of engineering, and how the fundamental mathematics and sciences are used in an engineering context. Topics covered include: study skills, time management, problem solving, successful teamwork, effective communications, exam preparation, stress management and wellness, undergraduate research, extra- and co-curricular involvement, engineering disciplines and career opportunities, and applications of math and science in engineering.",,,
APS106H1 - Fundamentals of Computer Programming,"An introduction to computer systems and software. Topics include the representation of information, algorithms, programming languages, operating systems and software engineering. Emphasis is on the design of algorithms and their implementation in software. Students will develop a competency in the Python programming language. Laboratory exercises will explore the concepts of both Structure-based and Object-Oriented programming using examples drawn from mathematics and engineering applications.",,,
APS110H1 - Engineering Chemistry and Materials Science,"This course is structured around the principle of the structure-property relationship. This relationship refers to an understanding of the microstructure of a solid, that is, the nature of the bonds between atoms and the spatial arrangement of atoms, which permits the explanation of observed behaviour. Observed materials behaviour includes mechanical, electrical, magnetic, optical, and corrosive behaviour. Topics covered in this course include: structure of the atom, models of the atom, electronic configuration, the electromagnetic spectrum, band theory, atomic bonding, optical transparency of solids, magnetic properties, molecular bonding, hybridized orbitals, crystal systems, lattices and structures, crystallographic notation, imperfections in solids, reaction rates, activation energy, solid-state diffusion, materials thermodynamics, free energy, and phase equilibrium.",,,
APS111H1 - Engineering Strategies & Practice I,"This course introduces and provides a framework for the design process. Students are introduced to communication as an integral component of engineering practice. The course is a vehicle for understanding problem solving and developing communications skills. This first course in the two Engineering Strategies and Practice course sequence introduces students to the process of engineering design, to strategies for successful team work, and to design for human factors, society and the environment. Students write team and individual technical reports.",,,
APS112H1 - Engineering Strategies & Practice II,"This course introduces and provides a framework for the design process, problem solving and project management. Students are introduced to communication as an integral component of engineering practice. The course is a vehicle for practicing team skills and developing communications skills. Building on the first course, this second course in the two Engineering Strategies and Practice course sequence introduces students to project management and to the design process in greater depth. Students work in teams on a term length design project. Students will write a series of technical reports and give a team based design project presentation.",,,
BME331H1 - Physiological Control Systems,"Introduces physiological concepts and selected physiological control systems present in the human body, and proposes quantitative modeling approaches for these systems. Topics covered will include (1) the endocrine system and its subsystems, including glucose regulation and the stress response, (2) the cardiovascular system and related aspects such as cardiac output, venous return, control of blood flow by the tissues, and nervous regulation of circulation, and (3) the nervous and musculoskeletal systems, including the control of voluntary motion. Linear control theory will be used to develop skills in system modeling and examine concepts of system response and system control in the context of a healthy human body.",CHE353H1,,
BME440H1 - Biomedical Engineering Technology and Investigation,"Fundamental biomedical research technologies with specific focus on cellular and molecular methodologies. Examples include DNA and protein analysis and isolation, microscopy, cell culture and cellular assays. Combines both theoretical concepts and hand-on practical experience via lectures and wet labs, respectively. Specific applications as applied to biotechnology and medicine will also be outlined and discussed.",CHE353H1,,
BME455H1 - Cellular and Molecular Bioengineering II,"Engineering and biophysical tools are used to integrate and enhance our understanding of animal cell behaviour from the molecular to the tissue level. Quantitative methods are used to mathematically model the biology of cell growth, division and differentiation to tissue formation. Specific topics include receptor-ligand interactions, cell adhesion and migration, signal transduction, cell growth and differentiation. Examples from the literature are used to highlight applications in cellular and tissue engineering.",CHE353H1 and CHE354H1,,
CHE112H1 - Physical Chemistry,"A course in physical chemistry. Topics discussed include systems and their states, stoichiometry, the properties of gases, the laws of chemical thermodynamics (calculations involving internal energy, enthalpy, free energy, and entropy), phase equilibrium, chemical equilibrium, ionic equilibrium, acids and bases, solutions, colligative properties, electrochemistry, and corrosion.",,,
CHE113H1 - Concepts in Chemical Engineering,"This course provides first year students with an overview of the chemical industry, the chemical engineering profession, and introduces key concepts for the upcoming years of study. The chemical industry is the interface between natural resources (minerals, oil, gas, agricultural products, etc.) and the consumers of the higher value products derived therefrom. This diverse industry has both high volume-low unit value and low volume-high unit value products, and the manufacture of each type of product has its own challenges. The chemical engineering profession applies the scientific fundamentals through two key concepts: Unit Operations as well as Flux. The fundamental elements of stoichiometry and reaction kinetics are further extended to cover the concepts of yield, conversion and their specific applications to continuous and batch reactor systems. Analysis of electrical circuits is introduced, leading to nodal analysis of circuits. The application of resistance in series and capacitance is extended into chemical engineering problems involved, heat transfer, mass transfer and momentum transfer, as well as reaction engineering. The laboratory will reinforce these key chemical engineering principles.",,,
CHE191H1 - Introduction to Chemical Engineering and Applied Chemistry,"This is a seminar series that will introduce students to the community, upper-year experience, and core fields of Chemical Engineering and Applied Chemistry. Seminar presenters will represent the major areas in Chemical Engineering and Applied Chemistry and will also be drawn from an array of groups, including students, staff, faculty, and alumni. The format will vary and may include application examples, case studies, career opportunities, and research talks. The purpose of the seminar series is to provide first year students with some understanding of the various options within the Department to enable them to make educated choices as they progress through the program. This course will be offered on a credit/no credit basis.",,,
CHE204H1 - Chemical Engineering and Applied Chemistry- Laboratory I,"This laboratory course will survey aspects of inorganic, organic and analytical chemistry from a practical point of view in a comprehensive laboratory experience. Theory, where applicable, will be interwoven within the laboratories or given as self-taught modules. Topics to be covered are inorganic and organic synthesis and analysis and will include elements of process and industrial chemistry and practice (including Green Chemistry).",,,
CHE205H1 - Chemical Engineering and Applied Chemistry- Laboratory II,"This laboratory course will survey aspects of inorganic, organic and analytical chemistry from a practical point of view in a comprehensive laboratory experience. Theory, where applicable, will be interwoven within the laboratories or given as self-taught modules. Topics to be covered are inorganic and organic synthesis and analysis and will include elements of process and industrial chemistry and practice (including Green Chemistry).",,,
CHE208H1 - Process Engineering,"An introduction to mass and energy (heat) balances in open systems. A quantitative treatment of selected processes of fundamental industrial and environmental significance involving phase equilibria, reaction and transport phenomena under both steady state and unsteady state conditions. Examples will be drawn from the chemical and materials processing industries, the energy and resource industries and environmental remediation and waste management.",MAT188H1,,
CHE210H1 - Heat and Mass Transfer,"Fundamentals of heat and transfer, including conduction, convective heat transfer, natural convection, design of heat exchangers, Fick's law of diffusion, analysis of mass transfer problems using Fick's law and mass balances, and effect of chemical reactions on mass transfer. Particular attention is focused on convective heat and mass transfer coefficients as obtained in laminar flow, or from turbulent heat transfer correlations and analogies.",CHE221H1,,
CHE211H1 - Fluid Mechanics,"Fundamentals of fluid mechanics including hydrostatics, manometry, Bernoulli's equation, integral mass, linear momentum and energy balances, engineering energy equation, Moody chart, pipe flow calculations, flow measurement instruments and pumps, dimensional analysis, differential analysis of laminar viscous flow, and brief introductions to particle systems, turbulent 1low, non-Newtonian fluids and flow in porous systems.",,,
CHE213H1 - Applied Chemistry II - Organic Chemistry,"Topics include the structure, bonding and characteristic reactions of organic compounds including additions, eliminations, oxidations, reductions, radical reactions, condensation/hydrolysis and rearrangements. The chemical relationships and reactivities of simple functional groups are discussed with an emphasis placed on reaction mechanisms involving the formation of organic intermediates, chemicals and polymers. An introduction will be given on biologically relevant compounds such as carbohydrates, proteins, lipids and nucleic acids. Examples will be discussed which outline the usefulness of these reactions and chemicals within the broader chemical industry.",,,
CHE220H1 - Applied Chemistry I - Inorganic Chemistry,"The Chemistry and physical properties of inorganic compounds are discussed in terms of atomic structure and molecular orbital treatment of bonding. Topics include acid-base and donor-acceptor chemistry, crystalline solid state, chemistry of main group elements and an introduction to coordination chemistry. Emphasis is placed on second row and transition metal elements.",,,
CHE221H1 - Calculus III,"Introduces concepts used in developing mathematical models of common chemical engineering processes, concepts of process dynamics and methods for analyzing the process response to different perturbations, and the numerical methods required for solving and analyzing the mathematical models. The course will also introduce applications of modeling to biochemical engineering.","MAT186H1, MAT187H1",,
"CHE222H1 - Process Dynamics: Modeling, Analysis and Simulation","Introduces concepts used in developing mathematical models of common chemical engineering processes, concepts of process dynamics and methods for analyzing the process response to different perturbations, and the numerical methods required for solving and analyzing the mathematical models. The course will also introduce applications of modeling to biochemical engineering.","MAT186H1, MAT187H1",,
CHE223H1 - Statistics,"Analysis of data using statistics and design of experiments. Topics include probability, properties of the normal distribution, confidence intervals, hypothesis testing, fitting equations to data, analysis of variance and design of experiments. The tutorial involves, in part, the application of commercial software to interpret experimental data, as obtained in Chemical Engineering laboratories.","MAT186H1, MAT187H1",,
CHE230H1 - Environmental Chemistry,"The chemical phenomena occurring in environmental systems are examined based on fundamental principles of organic, inorganic and physical chemistry. The course is divided into sections describing the chemistry of the atmosphere, natural waters and soils. The principles applied in the course include reaction kinetics and mechanisms, complex formation, pH and solubility equilibria and adsorption phenomena. Molecules of biochemical importance and instrumental methods of analysis relevant to environmental systems are also addressed. (formerly EDC230H1S)",,,
