Course Names,descriptions,prereq,Breadth requirements,distribution requirements
CRI205H1 - Introduction to Criminology,"An introduction to the study of crime and criminal behaviour. The concept of crime, the process of law formation, and the academic domain of criminology. Theories of crime causation, methodologies used by criminologists, and the complex relationship between crime, the media and modern politics.",4.0 credits,Society and its Institutions (3),Social Science
CRI210H1 - Criminal Justice,"An introduction to the Canadian criminal justice system. The institutions established by government to respond to crime and control it; how they operate, and the larger function they serve; including the role of the police, the trial process, courts and juries, sentencing, imprisonment and community corrections.","CRI205H1, CRI225H1",Society and its Institutions (3),Social Science
CRI215H1 - Introduction to Sociolegal Studies,"The course covers several major issues that will help prepare students for advanced courses in the criminology major: the meaning of law, the production of laws and legal institutions, law in action, comparative legal traditions, and the methodology of sociolegal studies.",4.0 credits,Society and its Institutions (3),Social Science
CRI225H1 - Criminal Law,"The main principles and themes of Canadian criminal law; legal definitions of crime, requirements of a criminal act (actus reus), criminal intention (mens rea), causation and defences. The origins, goals and functioning of criminal law, and limits on the power of the state to criminalize behaviour.",4.0 credits,Society and its Institutions (3),Social Science
CRI299Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,
CRI300H1 - Theories of Criminal Justice,"A survey of the evolution of normative theories of criminal justice, which examines how major theorists from the Enlightenment to the contemporary period have understood the normative justification for criminal prohibition and punishment. Although the course focuses on western political philosophy and social science, there will also be some attention to theories of criminal justice in selected non-western traditions.",(CRI205H1 and CRI225H1) or 1.0 credit at the 300+ level from HIS/PHL/POL/SOC and a minimum CGPA of 2.5,Society and its Institutions (3),Social Science
CRI322H1 - Inequality and Criminal Justice,"This course examines the intersections between social inequality and the criminal justice system in Canada and internationally. The course explores how factors such as race, ethnicity, gender, sexual orientation and religion influence perceptions of and experiences with crime and criminal justice.","1.0 credit from: CRI205H1, CRI210H1, SOC212H1",Society and its Institutions (3),Social Science
CRI335H1 - Policing,"A theoretical framework is developed to examine the nature of policing, its structure and function. Attention is given to the history of policing as a global form of social practice. We examine the perspectives of both “the police” and “the policed”, as well as the objectives, domains, strategies, and authority of contemporary policing, including decision-making, organizational culture, and accountability.",CRI210H1/CRI215H1,Society and its Institutions (3),Social Science
CRI340H1 - Punishment: Theory and Practice,"The study of punishment from historical and philosophical perspectives, with a focus on contemporary Canadian policy issues. Topics covered include penal theory, prisons and non-carceral forms of punishment, and the goals of penal reform.","CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
CRI343H1 - Comparative Criminal Justice,"Criminal justice issues outside Canada, based on a variety of international and historical studies. The evolution of criminal justice systems in Western Europe, including the English adversarial and continental European inquisitorial approaches. A comparison of policing, criminal procedure, forms of punishment, and crime rates in the contemporary world.","CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
CRI345H1 - History of Criminal Justice,"The course offers a historical perspective on the development of the legal doctrines, professions and institutions that define criminal justice in Canada and the broader common law world today. Topics include the shift from medieval trial by ordeal and torture to the modern reliance on expert witnesses and forensic science; the emergence of the adversarial trial; the growth of the legal profession; the birth of policing; the rise of the penitentiary; and the changing fortunes of the death penalty. The course focuses primarily on the period from the eighteenth century to the present. Students will be introduced to historical debates and ways of thinking and writing about law and crime. We will explore how culture, politics, economics and social life are essential to how we understand the foundational elements of criminal justice, including concepts of truth, guilt, legitimacy, fairness and violence.","1.0 credit from: CRI215H1, CRI210H1, SOC212H1, SOC313H1, HIS268H1, any HIS 300+ level course.  Any course combination from this list is acceptable.",Society and its Institutions (3),Social Science
CRI350H1 - Understanding Criminological Research,"An introduction to social science research methods used by criminologists and to the statistical analysis of criminological data. An understanding of the strengths and weaknesses of published criminological research is developed. Specific technical issues related to sampling, measurement, and data analysis are taught in the context of examining ways of answering research questions.","CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
CRI364H1 - Indigenous Peoples & Criminal Justice,"An introduction to issues affecting Indigenous peoples in the Canadian criminal justice system identified by Indigenous scholars, activists and allies. Topics include: effects of colonization, legal discrimination and disenfranchisement, Treaties and land claims, criminalization, Indigenous activism, and the Truth and Reconciliation Commission.","1.0 credit from: CRI205H1, CRI210H1, CRI215H1, CRI225H1",Society and its Institutions (3),Social Science
CRI365H1 - Crime and Mind,"Legal, psychological and sociological understandings of issues in the criminal justice system, through a consideration of topics including: criminal intent, the Not Criminally Responsible on Account of Mental Disorder defence, the use of battered woman syndrome as part of a self-defence, infanticide, issues of transcultural psychiatry, and jury screening for bias.","1.0 crime from: CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
CRI370H1 - Youth Justice,"The course will examine what is known about offending by youths and the various purposes that have been attributed to youth justice systems.  The course will focus, in large part, however, on the nature of the laws and youth justice systems that have been designed in Canada and elsewhere to respond to offending by youths.","CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
"CRI380H1 - Crime, Gender and Sex","Theory, research and policy related to the ways in which gender shapes criminal behaviour, the administration of criminal justice, and the criminal law. How notions of different types of masculinity and femininity are embedded in and influence both the operation of the criminal justice system as well as criminal behaviours. The regulation of gender and sexuality through the criminal law and through crime.",(CRI205H1 and CRI210H1) or (70% in SOC212H1 and enrolment in Sociology program),Society and its Institutions (3),Social Science
"CRI383H1 - Immigration, Ethnicity and Crime","The connection between immigration and crime, the effect of immigration on crime rates, discrimination against immigrants, the representation of immigrants in crime statistics, public perception of risk and security, and criminal justice policy changes which affect immigration. We consider research conducted in North America and Europe.",CRI205H1 or SOC212H1,Society and its Institutions (3),Social Science
CRI385H1 - Representing Crime and Authority,"Cultural constructions of crime, disorder, dangerousness and risk are integral parts of the criminal justice system. A critical analysis of how criminal justice personnel, the media, and academic criminologists construct their authority through symbols and images, in order to “explain” and manage crime, and how these representations are regarded in public discourse.","1.0 credit from: CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
CRI386H1 - Origins of Criminal Justice,"Criminal justice practice, as well as political debate concerning crime and criminal justice, are often influenced by ideas that are initially developed outside the criminal justice arena. This course examines the history, current influence and efficacy of a range of such ideas, such as: the role of religious practice in rehabilitating offenders; military service and participation in sports as preventive of delinquency; the influence of environmental pollution on crime rates; the concept of the ‘problem family’; intelligence based policing and the use of management theories in criminal justice organizations.|Note: The course may include an optional Service Learning component. If offered, additional information will be provided in the Faculty of Arts and Science's timetable.","CRI205H1,  CRI210H1",Society and its Institutions (3),Social Science
CRI389Y0 - Topics in Criminology and Sociolegal Studies Abroad,Topics in Criminology and Sociolegal Studies offered in an international setting. The content may vary from year to year.Details are posted on the Summer Abroad website.,Consult the Summer Abroad Program Office.,Society and its Institutions (3),Social Science
CRI390H1 - Topics in Criminology and Sociolegal Studies,"The objective of the course is to explore emerging issues in Criminology, and their social, legal, ethical and political implications. Topics vary from year to year.","1 credit from: CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
CRI391H1 - Topics in Criminology and Sociolegal Studies,"The objective of the course is to explore emerging issues in Criminology, and their social, legal, ethical and political implications. Topics vary from year to year.","1.0 credit from: CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
CRI392H1 - Topics in Criminology and Sociolegal Studies,"The objective of the course is to explore emerging issues in Criminology, and their social, legal, ethical and political implications. Topics vary from year to year.","1.0 credit from: CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
CRI393H1 - Topics in Criminology and Sociolegal Studies,"The objective of the course is to explore emerging issues in Criminology, and their social, legal, ethical and political implications. Topics vary from year to year.","1.0 credit from: CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
CRI394H1 - Topics in Criminology and Sociolegal Studies,"The objective of the course is to explore emerging issues in Criminology, and their social, legal, ethical and political implications. Topics vary from year to year.","1.0 credit from: CRI205H1, CRI210H1, CRI225H1",Society and its Institutions (3),Social Science
CRI395H1 - Independent Study,Independent study under the direction of a faculty member. Open only when a faculty member is willing and available to supervise. Consult the program website for additional information. Not eligible for CR/NCR option.,"CRI205H1,  CRI210H1,  CRI225H1 and 2 CRI 300 half-credit lecture/seminar courses, approval of the Program Coordinator",Society and its Institutions (3),Social Science
CRI396H1 - Research Participation,Credit course for supervised participation in a faculty research project. Offered only when a full-time faculty member from the Centre for Criminology & Sociolegal Studies is willing and available to supervise. Consult the program website for additional information. Not eligible for CR/NCR option.,9.0 credits and approval of the Program Coordinator.,Society and its Institutions (3),
CRI399Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,,,
CRI415H1 - Politics and Crime,"An advanced seminar examining the development of criminal justice and penal policies in Canada, the United States, Western Europe and Russia; the way authorities in those countries define and manage political deviance and the intrusion of politics into the administration of justice, especially in non-democratic settings.",A minimum average of 77% in 4 CRI 300 half-credit lecture/seminar courses,Society and its Institutions (3),Social Science
