Course Names,descriptions,prereq,Breadth requirements,distribution requirements
APS100H1 - Orientation to Engineering,"This course is designed to help students transition into first-year engineering studies and to develop and apply a greater understanding of the academic learning environment, the field of engineering, and how the fundamental mathematics and sciences are used in an engineering context. Topics covered include: study skills, time management, problem solving, successful teamwork, effective communications, exam preparation, stress management and wellness, undergraduate research, extra- and co-curricular involvement, engineering disciplines and career opportunities, and applications of math and science in engineering.",,,
APS105H1 - Computer Fundamentals,"An introduction to computer systems and problem solving using computers. Topics include: the representation of information, programming techniques, programming style, basic loop structures, functions, arrays, strings, pointer-based data structures and searching and sorting algorithms. The laboratories reinforce the lecture topics and develops essential programming skills.",,,
APS110H1 - Engineering Chemistry and Materials Science,"This course is structured around the principle of the structure-property relationship. This relationship refers to an understanding of the microstructure of a solid, that is, the nature of the bonds between atoms and the spatial arrangement of atoms, which permits the explanation of observed behaviour. Observed materials behaviour includes mechanical, electrical, magnetic, optical, and corrosive behaviour. Topics covered in this course include: structure of the atom, models of the atom, electronic configuration, the electromagnetic spectrum, band theory, atomic bonding, optical transparency of solids, magnetic properties, molecular bonding, hybridized orbitals, crystal systems, lattices and structures, crystallographic notation, imperfections in solids, reaction rates, activation energy, solid-state diffusion, materials thermodynamics, free energy, and phase equilibrium.",,,
APS111H1 - Engineering Strategies & Practice I,"This course introduces and provides a framework for the design process. Students are introduced to communication as an integral component of engineering practice. The course is a vehicle for understanding problem solving and developing communications skills. This first course in the two Engineering Strategies and Practice course sequence introduces students to the process of engineering design, to strategies for successful team work, and to design for human factors, society and the environment. Students write team and individual technical reports.",,,
APS112H1 - Engineering Strategies & Practice II,"This course introduces and provides a framework for the design process, problem solving and project management. Students are introduced to communication as an integral component of engineering practice. The course is a vehicle for practicing team skills and developing communications skills. Building on the first course, this second course in the two Engineering Strategies and Practice course sequence introduces students to project management and to the design process in greater depth. Students work in teams on a term length design project. Students will write a series of technical reports and give a team based design project presentation.",,,
APS360H1 - Applied Fundamentals of Machine Learning,"A basic introduction to the history, technology, programming and applications of the fast evolving field of machine learning. Topics to be covered may include neural networks, autoencoders/decoders, recurrent neural networks, natural language processing, and generative adversarial networks. Special attention will be paid to fairness and ethics issues surrounding machine learning. An applied approach will be taken, where students get hands-on exposure to the covered techniques through the use of state-of-the-art machine learning software frameworks.",APS105H1/APS106H1/ESC180H1/CSC180H1; APS163/MAT187H1/ESC195H1; MAT185H1/MAT188H1,,
BME331H1 - Physiological Control Systems,"Introduces physiological concepts and selected physiological control systems present in the human body, and proposes quantitative modeling approaches for these systems. Topics covered will include (1) the endocrine system and its subsystems, including glucose regulation and the stress response, (2) the cardiovascular system and related aspects such as cardiac output, venous return, control of blood flow by the tissues, and nervous regulation of circulation, and (3) the nervous and musculoskeletal systems, including the control of voluntary motion. Linear control theory will be used to develop skills in system modeling and examine concepts of system response and system control in the context of a healthy human body.",CHE353H1,,
BME440H1 - Biomedical Engineering Technology and Investigation,"Fundamental biomedical research technologies with specific focus on cellular and molecular methodologies. Examples include DNA and protein analysis and isolation, microscopy, cell culture and cellular assays. Combines both theoretical concepts and hand-on practical experience via lectures and wet labs, respectively. Specific applications as applied to biotechnology and medicine will also be outlined and discussed.",CHE353H1,,
BME445H1 - Neural Bioelectricity,"Generation, transmission and the significance of bioelectricity in neural networks of the brain. Topics covered include: (i) Basic features of neural systems. (ii) Ionic transport mechanisms in cellular membranes. (iii) Propagation of electricity in neural cables. (iv) Extracellular electric fields. (v) Neural networks, neuroplasticity and biological clocks. (vi) Learning and memory in artificial neural networks. Laboratory experiences include: (a) Biological measurements of body surface potentials (EEG and EMG). (b) Experiments on computer models of generation and propagation of neuronal electrical activities. (c) Investigation of learning in artificial neural networks. This course was previously offered as ECE445H1.",ECE159H1/ECE110H1,,
BME455H1 - Cellular and Molecular Bioengineering II,"Engineering and biophysical tools are used to integrate and enhance our understanding of animal cell behaviour from the molecular to the tissue level. Quantitative methods are used to mathematically model the biology of cell growth, division and differentiation to tissue formation. Specific topics include receptor-ligand interactions, cell adhesion and migration, signal transduction, cell growth and differentiation. Examples from the literature are used to highlight applications in cellular and tissue engineering.",CHE353H1 and CHE354H1,,
