Course Names,descriptions,prereq,Breadth requirements,distribution requirements
ESS103H1 - Geology in Public Issues,"Geologic hazards: earthquakes, volcanoes, landslides, tsunamis. The distribution and politics of natural resources, including petroleum and ore deposits. Nuclear power and nuclear waste disposal. Global change: the geologic record of hot and cold climates, and how the earth survives.  ESS103H1 is primarily intended as a science Distribution Requirement course for Humanities and Social Science, it will be taught in odd years.",,The Physical and Mathematical Universes (5),Science
ESS104H1 - Controversies in Earth Science,"The evolution of ideas about the origin and development of the earth from the Athenians to the 20th Century, with attention on the age of earth; on the evolution and disappearance of species; on the origin of oceans, continents and mountains; on climate change; and on the courage of scientists in confronting the religious and political views of their time.  ESS104H1 is primarily intended as a science Distribution Requirement course for Humanities and Social Science students. Taught in even years.",,The Physical and Mathematical Universes (5),Science
ESS105H1 - Our home planet,The nature and evolution of the Earth; plate tectonics; rocks and minerals; volcanism; geological time; fossils; geology of Ontario; environmental issues; and human interactions with the planet.  ESS105H1 is primarily intended as a science Distribution Requirement course for Humanities and Social Science students,,The Physical and Mathematical Universes (5),Science
ESS196H1 - Life and Death in the Solar System,"Earth is the only planet in the solar system known to support life. Through directed readings, seminars, videos and lab visits, participants in this course will work with instructors whose own research tackles important questions concerning the origin of life on earth; the limits to life on this planet; implications for life under extreme conditions elsewhere in the solar system; and the life cycles of the planets themselves. The course will involve reading of scientific literature, student-led discussions, oral presentations and research projects, as well as potential field trips to sites in Southern Ontario. Restricted to first-year students. Not eligible for CR/NCR option.",,The Physical and Mathematical Universes (5),Science
ESS197H1 - Earth and Life through Time,"This seminar will look through the lens of earth history to explore drivers of change in the biosphere and the impacts of these changes. We will focus on episodes of mass extinction, and the spectacular landscape changes and speciation events which often followed. Abrupt or gradual climatic changes, massive volcanism, asteroid impacts, catastrophic carbon releases, and human activity will be evaluated as the causes of major extinction events in Earth history. The course will involve reading of scientific literature, student-led discussions, oral presentations and research projects, as well as potential field trips to sites in Southern Ontario. Restricted to first-year students. Not eligible for CR/NCR option.",,The Physical and Mathematical Universes (5),Science
ESS198H1 - Resources and Sustainability,"The rise of humanity is intricately linked to the exploitation of natural resources. From its earliest attempts to use fire and extract metals from rocks, to coal-fired steam that brought the industrial revolution, hydrocarbons that fuel international travel and trade, nuclear energy to produce electricity, and the reliance on smartphones in our daily lives, the planet’s resources have brought innovation and problems and require us to ask questions regarding sustainability. This course will explore the gamut from resource extraction and trading, to its societal consequences including global politics, environmental pollution, and remediation. The course will involve reading of scientific literature, student-led discussions, oral presentations and research projects, and potentially field trips to sites in Southern Ontario. Restricted to first-year students. Not eligible for CR/NCR option.",,The Physical and Mathematical Universes (5),Science
"ESS199H1 - Earth, Portrait of a Planet","Modern Earth Sciences touches on virtually all aspects of modern life, from the atmosphere to large scale natural disasters. This course will explore how earth sciences has shaped our society and our understanding of the earth as a system. Potential course topics will vary depending on the instructor, and include (but are not limited to) the great climate change crisis and what we know about climate change in the past to the literally earth moving ideas of plate tectonics (and the associated natural disasters). The course will involve reading of scientific literature, student-led discussions, oral presentations and research projects. Restricted to first-year students. Not eligible for CR/NCR option.For further information, please contact the Student Affairs Coordinator (Scott Moore, Department of Earth Sciences, 22 Russell St. Earth Sciences Center, Room 1062 email: ugrad@es.utoronto.ca).",,The Physical and Mathematical Universes (5),Science
ESS205H1 - Confronting Global Change,"The emergence of society as a major geological force is considered in terms of the evolving debate about the consequences of human activity for the habitability of our planet. Major issues such as climate change, environmental pollution, and depletion of natural resources are examined.",Completion of at least 4.0 credits,Living Things and Their Environment (4),Science
ESS223H1 - Earth System Chemistry 1: Earth Materials,"This course introduces students to the basic principles of geochemistry beginning with some fundamental chemical concepts concerning atoms, bonding and the periodic table. It continues with an overview of the wide ranging geochemical fields and concepts such as elemental distributions, fractionation and differentiation, and trace element cycling. The latter half of the courses leads into an introduction to basic thermodynamics as it applies to more advanced geochemical concepts found in aqueous geochemistry, mineralogy and petrology.","MAT135H1, MAT136H1, CHM135H1",The Physical and Mathematical Universes (5),Science
ESS224H1 - Introduction to Mineralogy and Petrology,"An introduction to atomic structure, chemistry, physical properties, and geological significance of rock-forming minerals and rocks. Field techniques and core concepts to identify important minerals and rocks in hand specimens and place them into their geological context. The development of practical skills is emphasized.",JEG100H1/ESS262H1,The Physical and Mathematical Universes (5),Science
