Course Names,descriptions,prereq,Column 4,Breadth requirements,distribution requirements
AER210H1 - Vector Calculus & Fluid Mechanics,"The first part of this course covers multiple integrals and vector calculus. Topics covered include: double and triple integrals, derivatives of definite integrals, surface area, cylindrical and spherical coordinates, general coordinate transformations (Jacobians), Taylor series in two variables, line and surface integrals, parametric surfaces, Green's theorem, the divergence and gradient theorems, Stokes's theorem. The second part of the course provides a general introduction to the principles of continuum fluid mechanics. The basic conservation laws are derived in both differential and integral form, and the link between the two is demonstrated. Applications covered include hydrostatics, incompressible and compressible frictionless flow, the speed of sound, the momentum theorem, viscous flows, and selected examples of real fluid flows.",MAT195H1,,,
AER301H1 - Dynamics,"Reference frames in relative translation and rotation, vector and matrix formulations. Dynamics of a single particle and of systems of particles. Lagrange's equations. D'Alembert's and Hamilton's principle. Orbital dynamics. Rigid body kinematics and dynamics, Lagrangian approach to vibrations of complex systems. Model analysis. Primary Reference: class notes. Reference Books: Greenwood, Principles of Dynamics; Goldstein, Classical Mechanics.","AER210H1, MAT185H1 and PHY180H1",,,
AER302H1 - Aircraft Flight,"Basics of aircraft performance with an introduction to static stability and control. Topics covered include: Equations of Motion; Characteristics of the Atmosphere; Airspeed Measurement; Drag (induced drag, total airplane drag); Thurst and Power (piston engine characteristics, gas turbine performance); Climb (range payload); Tunrs; Pull-up; Takeoff; Landing (airborne distance, ground roll); Flight envelope (maneuvering envelope, gust load factors); Longitudinal and lateral static stability and control; Introduction to dynamic stability.",AER307H1 and AER301H1,,,
AER303H1 - Aerospace Laboratory I,"Students will perform a number of experiments in the subject areas associated with the Aerospace Option curriculum, and prepare formal laboratory reports.",,,,
AER304H1 - Aerospace Laboratory II,"Students will perform a number of experiments in the subject areas associated with the Aerospace Option curriculum, and prepare formal laboratory reports.",,,,
AER307H1 - Aerodynamics,"Review of fundamentals of fluid dynamics, potential-flow, Euler, and Navier-Stokes equations; incompressible flow over airfoils, incompressible flow over finite wings; compressibility effects; subsonic compressible flow over airfoils; supersonic flow; viscous flow; laminar layers and turbulent boundary layers and unsteady aerodynamics. Textbook: Anderson, J.D., Fundamentals of Aerodynamics, 3rd Edition, McGraw Hill, 2001.",AER210H1 or MIE312H1,,,
AER310H1 - Gasdynamics,"Basic introduction to compressible gasdynamics. Includes some fundamental thermodynamics, thermal and caloric equations of state, derivation of Euler's equations by control volume approach. Also, includes the theory of steady flows in ducts with area changes, adiabatic frictional flows, duct flows with heat transfer, normal and oblique shock waves, Prandtl-Meyer expansion wave, moving shock and rarefaction waves, shock tubes, and wind tunnels. The lectures are supplemented by problem sets. Reference book: Anderson, J.D., Modern Compressible Flow with Historical Perspective.",AER307H1,,,
AER315H1 - Combustion Processes,"Scope and history of combustion, and fossil fuels; thermodynamics and kinetics of combustion including heats of formation and reaction, adiabatic flame temperature, elementary and global reactions, equilibrium calculations of combustion products, and kinetics of pollutant formation mechanisms; propagation of laminar premixed flames and detonations, flammability limits, ignition and quenching; gaseous diffusion flames and droplet burning; introduction to combustion in practical devices such as rockets, gas turbines, reciprocating engines, and furnaces; environmental aspects of combustion.",CHE260H1,,,
AER336H1 - Scientific Computing,"Introduces numerical methods for scientific computation which are relevant to the solution of a wide range of engineering problems. Topics addressed include interpolation, integration, linear systems, least-squares fitting, nonlinear equations and optimization, initial value problems, and partial differential equations. The assignments require programming of numerical algorithms.",ESC103H1 and MAT185H1,,,
AER372H1 - Control Systems,"An introduction to dynamic systems and control. Models of physical systems. Stability and feedback control theory. Analysis and synthesis of linear feedback systems by ""classical"" and state space techniques. Introduction to nonlinear and optimal control systems. Digital computer control. Multivariable feedback system design.",MAT185H1 and MAT292H1,,,
