Course Names,descriptions,prereq,Breadth requirements,distribution requirements
CJH332H1 - Cellular and Molecular Neurobiology of the Synapse,"Examination of all aspects of the synapse in both the peripheral and central nervous systems of invertebrates and vertebrates. Topics include: neuroplasticity, synapse formation, synaptic transmission, synaptic modulation, and the molecular biological basis of neurodegenerative disorders.",BIO271H1/PSL300H1,Living Things and Their Environment (4),Science
EHJ352H1 - Evolution of the Human Genome,"Human genome diversity and evolution with a focus on current research. The course integrates applications of human evolutionary genomics to the understanding of human history and adaptation, the causes of disease, and genome structure and function. Topics include: comparative genomics, population genomics of adaptation, association mapping, repetitive/selfish DNA, and gene duplication.","BIO220H1, BIO260H1/HMB265H1",Living Things and Their Environment (4),Science
HMB200H1 - Introduction to Neuroscience,"An introductory course that explores the development, physiology and continually changing function of the nervous system as it relates to certain types of human behaviour. Critical analysis of scientific evidence is used to enrich learning.","BIO120H1, BIO130H1",Living Things and Their Environment (4),Science
HMB201H1 - Introduction to Fundamental Genetics and its Applications,"The course provides a comprehensive introduction to a variety of therapeutic approaches including gene therapy, CRISPR-based gene editing, epigenetic manipulations & regenerative medicine. This course consists of three parts: tools and techniques of gene & genome manipulations; medical, environmental and agricultural biotechnology applications; and ethical, legal and social aspects of modern biotechnology as it pertains to human health and wellbeing.","BIO120H1, BIO130H1",Living Things and Their Environment (4),Science
HMB202H1 - Introduction to Health and Disease,"An introductory course in Health and Disease using an interdisciplinary approach that integrates bacteriology and virology with other aspects of human biology, including chronic disease and neoplasia. An exploration of the key concepts and approaches that are necessary for understanding the dynamic nexus of human health and disease. (Lab Fees: $40)","BIO120H1, BIO130H1",Living Things and Their Environment (4),Science
HMB203H1 - Introduction to Global Health,"An introductory course covering the theories, operational components and strategies of implementing health care in resource-poor settings. Topics may include education, control of vector-borne diseases, essential drug provision, maternal and child health, nutrition, incorporation of alternative and complementary technologies, community participation and deployment of health service providers","BIO120H1, BIO130H1",Living Things and Their Environment (4),Science
HMB204H1 - Introduction to Human Biology,"An introduction to the biological, health, environmental, and sociopolitical issues that influence human health and well-being.  Topics include genetic variation within and across human populations, biological variation related to the environment, determinants of health and disease, and human behaviour and development.","BIO120H1, BIO130H1",Living Things and Their Environment (4),Science
HMB226H1 - Indigenous Holistic Health,"What is holistic health in an Indigenous framework? How can holistic health (physical, mental, emotional, and spiritual) be ethically explored to inform health and healing? What is cultural safety in health care systems? This course explores the effects of traditional practices, culture, activities, arts, land-based healing, music and ceremony in health and healing.",,Living Things and Their Environment (4),Science
HMB265H1 - General & Human Genetics,"An introduction to classical and modern methods of genetic analysis. Topics include Mendelian genetics, the genetics of human population and disease, genomics, and applications of genetics to human society.","BIO120H1,  BIO130H1, ( CHM135H1/ CHM139H1,  CHM136H1/ CHM138H1)/  CHM151Y1",Living Things and Their Environment (4),Science
HMB299Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,
HMB300H1 - Neurobiology of Behaviour,"This neuroscience course focuses on higher brain functions and the mechanisms underlying human and animal behaviours. Topics may include the emerging role of the gut microbiome's impact on behaviour, pathogens that alter neuronal development and the biological basis of mindfulness and placebos. In addition, the impact that exercise and sleep play in modulating these behaviours are examined. Common experimental techniques used in neuroscience research such as brain imaging and cellular genetics are emphasized.","BIO230H1/BIO255H1, HMB200H1/ PSY290H1/ PSL300H1/ CJH332H1",Living Things and Their Environment (4),Science
HMB301H1 - Biotechnology,"Students gain an appreciation for how science, government and society drive the development of biotechnology products. Topics include emerging immunotherapies, “living therapeutics”, emerging challenges, CRISPR-based therapeutics, emerging diagnostics, and stem cells and regenerative medicine.",HMB265H1/BIO260H1,Living Things and Their Environment (4),Science
HMB302H1 - Vertebrate Histology and Histopathology,"Laboratory and lecture course studying the structure of the cell, various tissues and organ systems. Emphasis is on functional morphology and the adaptive response (including the inflammatory reaction) by comparing histological sections of normal tissues and organs with common diseases including neoplasia, respiratory, and liver disease. (Lab Materials Fee: $27)",BIO230H1/ BIO255H1,Living Things and Their Environment (4),Science
HMB303H1 - Global Health and Human Rights,"The Global Health & Human Rights course uses a multidisciplinary approach to consider the theory and practice of global health as well as human rights from a global health perspective. The course has an emphasis on the social, historical, economic and political determinants of global health and human rights. The critical approach used in the course will also allow students to begin to consider the limitations and contradictions inherent in the theory and practice of global health and in human rights.","Completion of 9.0 credits, a HST200-level course/ HMB202H1/HMB203H1/HMB204H1",Society and its Institutions (3),"Science, Social Science"
HMB306H1 - Ethical Considerations in Emerging Technology,"Advancing technology increases our ability to intervene in the course of natural events involving human health and well being. Questions arise as whether we ought to and who will benefit or be harmed.  This course considers the far-reaching bioethical implications of emerging bio-technology. Topics to be explored include-but are not limited to- ethical considerations in emerging reproductive technologies, genetic alteration/genetic enhancement. Use of life support technologies, synthetic life, life extension.","BIO230H1, HMB265H1/BIO260H1",Living Things and Their Environment (4),Science
HMB310H1 - Laboratory in Neuroscience,"A laboratory course based on current research techniques for students in the Neuroscience program. Lab topics may include human brain imaging and disorders, electrophysiology, cell culture, and changes in gene expression during neuronal development. Labs start in the first week of term. (Lab Materials Fee: $63)","Completion of 9.0 credits, HMB200H1/PSY290H1, HMB265H1/BIO260H1, BIO230H1/ BIO255H1",Living Things and Their Environment (4),Science
HMB311H1 - Laboratory in Fundamental Genetics and its Applications,"A laboratory course based on current research techniques for students in the Fundamental Genetics and its Applications programs. Lab topics may include molecular biology and animal cell culture techniques, nutrigenomics; an overview of microarrays and a CRISPR module. Labs start in the first week of term. (Lab Materials Fee: $102)","Completion of 9.0 credits, HMB201H1, HMB265H1/BIO260H1, BIO230H1/ BIO255H1",Living Things and Their Environment (4),Science
HMB312H1 - Laboratory in Health and Disease,"A laboratory course based on current research techniques and topics which may include basic microbiology, molecular biology and animal cell culture techniques, immunocytochemistry, changes in gene expression, and histological techniques. Labs start in the first week of term. (Lab Materials Fee: $81)","Completion of 9.0 credits, HMB202H1/HMB203H1/HMB204H1, HMB265H1/BIO260H1, BIO230H1/BIO255H1",Living Things and Their Environment (4),Science
HMB314H1 - Laboratory in Human Biology,"Students analyze whole body, cellular, and molecular responses to stress. Techniques range from those standard in medical practice (e.g., fitness measures, blood pressure, lung function) to current research techniques (cell culture, changes in gene expression). Students gain technical and analytical skills as they work at the bench to design and carry out individual and group experiments. Labs start in the first week of term. (Lab Materials Fee: $61)","Completion of 9.0 credits,  HMB265H1/BIO260H1, BIO230H1/ BIO255H1",Living Things and Their Environment (4),Science
HMB320H1 - Neuroanatomy,"This is a rigorous, introductory course that addresses the structure of the vertebrate central nervous system with an emphasis on functional human neuroanatomy. It is designed for students who intend to continue with studies in the Neurosciences and related areas.","Completion of 9.0 credits, PSL300H1, HMB200H1/PSY290H1, BIO230H1/ BIO255H1",Living Things and Their Environment (4),Science
HMB321H1 - Topics in Genetics,"The overall theme of this course is human genetics in disease. Topics include the molecular basis of human disease, using model organisms to identify disease-related genes, and genetic counseling. Expert guest lectures from clinical and basic sciences as well as small group work in tutorials build in-depth understanding.","Completion of 9.0 credits,  HMB265H1/ BIO260H1",Living Things and Their Environment (4),Science
HMB322H1 - Topics in Health & Disease,Explore the scientific basis and interdisciplinary healthcare practices of several diseases (diseases vary by year). Discuss current issues related to the biology and the impact of these diseases.,"Completion of 9.0 credits,  HMB202H1/ HMB203H1/ HMB204H1, BIO230H1/BIO255H1, PSL300H1",Living Things and Their Environment (4),Science
HMB323H1 - Global Health Research,Health is a responsibility shared worldwide. Globalization of health has impacted biomedical research. Students will explore current global health research advances and build skills in the design and conduct of global health research studies.,"Completion of 9.0 credits,  HMB202H1/ HMB203H1/ HMB204H1,  BIO230H1/  BIO255H1",Living Things and Their Environment (4),Science
HMB342H1 - Epidemiology of Health & Disease,"This course engages students in the fundamental science of epidemiology applied to health and disease. After an introduction to various measures of health and disease, the scientific methods used to investigate, analyze, prevent and control health problems will be illustrated using social, biomedical and public health examples","9.0 credits complete, (BIO120H1, BIO130H1)/HST209H1",The Physical and Mathematical Universes (5),Science
HMB360H1 - Neurogenomics,"Genetic basis of both the normal and abnormal development of the nervous system and its function. Topics include the regulation of neural gene expression, the role of epigenetics on neuron function, genome wide association studies and disorders of brain and behaviour, optogenetic and pharmacogenetic techniques to probe neural circuit function. Tutorials emphasize critical analysis of primary research.","Completion of 9.0 credits, HMB265H1/BIO260H1, HMB200H1/HMB201H1",Living Things and Their Environment (4),Science
HMB394Y0 - International Research Project in Human Biology,"Your individual, independent research project is supervised by a faculty member in an approved university. This unique opportunity to conduct a lab-based research project is open to students in any Human Biology program. Coordinated by Centre for International Experience. Not eligible for CR/NCR option.",8.5 credits including relevant courses in human biology.,,Science
HMB396Y0 - International Research Project in Human Biology,"Your individual, independent research project is supervised by a faculty member in an approved university. This unique opportunity to conduct a lab-based research project is open to students in any Human Biology program. Not eligible for CR/NCR option. Coordinated by Woodsworth College.",An approved 300-series science laboratory course and permission of the Human Biology Program from which application forms may be obtained.,,Science
HMB398Y0 - Research Excursions,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,Completion of 9.0 credits and permission of the Human Biology Program from which application forms may be obtained.,,Science
HMB399H1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,
HMB399Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,
HMB401H1 - Biomedical Advances & Technologies,"This course introduces life science students to biomedical advances and technologies in medicine, including drug patents, medical device implants, diagnostic and medical device software. Limitations of patent protection in commercializing medical products, and limitations to scalability may also be discussed. Specific topics vary from year to year and will be based on the course instructor's area(s) of expertise.","Completion of 14.0 credits, HMB301H1/HMB321H1/BCH311H1/CSB349H1/MGY311Y1/PSL350H1,  HMB201H1/HMB202H1/HMB203H1/HMB204H1",Living Things and Their Environment (4),Science
HMB402H1 - Topics in Translational Medicine,"The bridge between basic scientific research and clinical practice integrates fundamental knowledge about molecular/cellular mechanisms and clinical disorders to increase the potential for new medical treatments, therapies and interventions as well as understanding of disease processes. Specific topics vary from year to year and will be based on the instructor's area(s) of expertise.","Completion of 14.0 credits, BCH210H1, BIO230H1/BIO255H1, HMB302H1/HMB321H1/HMB322H1/BCH311H1/CSB349H1/MGY311Y1/PSL350H1, and HMB202H1/HMB203H1/HMB204H1",Living Things and Their Environment (4),Science
HMB406H1 - Health Care Ethics,"Since research involving human subjects lays the foundation for innovation in modern health care, this course examines health care ethics along a continuum from bench to bedside. Ethical issues are discussed in the context of specific cases involving human research, as well as contemporary clinical practice.","Completion of 14.0 credits, a HMB300-level course, HMB306H1/ PHL281H1/ other ethics course with prior approval from the unit",Living Things and Their Environment (4),Science
HMB420H1 - Seminar in Neurobiology of Behaviour,This seminar course focuses on recent research into the neurobiology underlying human behaviour. A variety of normal and abnormal human behaviours are studied which may include: voluntary action; moral cognition; hedonism; aggression; mental health; addiction; the impact of the gut microbiome on brain development and health.,"Completion of 14.0 credits, HMB200H1, HMB300H1, HMB320H1/ANA300Y1",Living Things and Their Environment (4),Science
HMB421H1 - Seminar in Fundamental Genetics and its Applications,Theme based lecture and seminar course underlining current medical research in relation to the areas of genes and genetics. Topics vary yearly.,"Completion of 14.0 credits, HMB265H1/BIO260H1, HMB201H1",Living Things and Their Environment (4),Science
HMB422H1 - Seminar in Health & Disease,This course focuses on various medical research related to human disease. Topics vary based on course instructor's area(s) of expertise.,"Completion of 14.0 credits, PSL300H1, PSL301H1, HMB302H1/HMB322H1, and HMB202H1/HMB203H1/HMB204H1",Living Things and Their Environment (4),Science
HMB430H1 - Trends in Neuroscience,"Current research covering the breadth of neuroscience is showcased by members of the Collaborative Program in Neuroscience. Topics vary yearly, but cover the spectrum from molecular through genetic, cellular, developmental, systems, behavioural and modelling. As well, approaches to studying neurodegenerative diseases and clinical neurophysiology are introduced.","Completion of 14.0 credits, HMB200H1, CJH332H1, HMB320H1/JHA410H1/ANA300Y1",Living Things and Their Environment (4),Science
HMB431H1 - Innovation in Applied Genetics,"From bench to bedside, this seminar-based course explores innovation in research and technology and their application in the medical field. Special emphasis on innovative genetic engineering approaches used in combination with stem cell technologies to transform the field of personalized and regenerative medicine.","14.0 credits complete, HMB301H1/HMB360H1/HMB321H1, HMB201H1/HMB202H1/HMB203H1/HMB204H1",Society and its Institutions (3),Science
HMB432H1 - Topics in Histology & Histopathology,"Lecture and seminar course emphasizing current research. Topics may include the digestive system, cardiovascular system, respiratory system, stem cells, and neoplasia. Topics vary depending on class interest.","Completion of 14.0 credits, HMB302H1/HMB322H1",Living Things and Their Environment (4),Science
HMB433H1 - Topics in Global Health,Seminar and theme based course examining the opportunity to apply basic knowledge of biological determinants of disease to designing health system interventions and informatics that can have a global impact in the near term.,"Completion of 14.0 credits, HMB303H1/ HMB323H1",Living Things and Their Environment (4),Science
