Course Names,descriptions,prereq,Column 4,Breadth requirements,distribution requirements
APM236H1 - Applications of Linear Programming,"Introduction to linear programming including a rapid review of linear algebra (row reduction, matrix inversion, linear independence), the simplex method with applications, the duality theorem, complementary slackness, the dual simplex method and the revised simplex method.",MAT221H1/MAT223H1/MAT240H1 (Note: no waivers of prerequisites will be granted),,The Physical and Mathematical Universes (5),Science
APM306Y1 - Mathematics and Law,This course examines the relationship between legal reasoning and mathematical logic; provides a mathematical perspective on the legal treatment of interest and actuarial present value; critiques ethical issues; analyzes how search engine techniques on massive databases transform legal research and considers the impact of statistical analysis and game theory on litigation strategies.|NOTE|This course counts as 0.5 FCE in BR3 and 0.5 FCE in BR5.|This course will only contribute 0.5FCE to the Math Minor program.,"(MAT135H1/MAT135H5/MAT136H1/MAT136H5)/MAT137Y1/MAT157Y1, MAT221H1/MAT223H1/MAT240H1",,"The Physical and Mathematical Universes (5), Society and its Institutions (3)",Science
APM346H1 - Partial Differential Equations,"Sturm-Liouville problems, Green's functions, special functions (Bessel, Legendre), partial differential equations of second order, separation of variables, integral equations, Fourier transform, stationary phase method.","MAT235Y1/  MAT235Y5/ ( MAT232H5,  MAT236H5)/ ( MATB41H3,  MATB42H3)/  MAT237Y1/  MAT237Y5/  MAT257Y1, ( MAT244H1/  MATB44H3/  MAT244H5/  MAT267H1)",,The Physical and Mathematical Universes (5),Science
APM348H1 - Mathematical Modelling,"An overview of mathematical modelling. A variety of approaches for representing physical situations mathematically followed by analytical techniques and numerical simulations to gain insight. Questions from biology, economics, engineering, medicine, physics, physiology, and the social sciences formulated as problems in optimization, differential equations, and probability. Precise content varies with instructor.","MAT244H1/MAT267H1, MAT224H1/MAT247H1, STA237H1/STA247H1/STA257H1/MAT377H1",MAT482,The Physical and Mathematical Universes (5),Science
APM396H1 - Independent Reading in Applied Mathematics,Independent study under the direction of a faculty member. Topic must be outside undergraduate offerings. Similar workload to a 36L course.  Not eligible for CR/NCR option.,Minimum GPA 3.5 for APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor.,,The Physical and Mathematical Universes (5),Science
APM421H1 - Mathematical Foundations of Quantum Mechanics,"Key concepts and mathematical structure of Quantum Mechanics, with applications to topics of current interest such as quantum information theory. The core part of the course covers the following topics: Schroedinger equation, quantum observables, spectrum and evolution, motion in electro-magnetic field, angular momentum and O(3) and SU(2) groups, spin and statistics, semi-classical asymptotics, perturbation theory. More advanced topics may include: adiabatic theory and geometrical phases, Hartree-Fock theory, Bose-Einstein condensation, the second quantization, density matrix and quantum statistics, open systems and Lindblad evolution, quantum entropy, quantum channels, quantum Shannon theorems.|Joint undergraduate/graduate course - APM421H1/MAT1723H","(MAT224H1/MAT247H1, MAT337H1)/MAT357H1",,The Physical and Mathematical Universes (5),Science
APM426H1 - General Relativity,Einstein's theory of gravity. Special relativity and the geometry of Lorentz manifolds. Gravity as a manifestation of spacetime curvature. Einstein's equations. Cosmological implications: big bang and inflationary universe. Schwarzschild stars: bending of light and perihelion precession of Mercury. Topics from black hole dynamics and gravitational waves. The Penrose singularity theorem.|Joint undergraduate/graduate course - APM426H1/MAT1700H,MAT363H1/MAT367H1,,The Physical and Mathematical Universes (5),Science
APM441H1 - Asymptotic and Perturbation Methods,"Asymptotic series. Asymptotic methods for integrals: stationary phase and steepest descent. Regular perturbations for algebraic and differential equations. Singular perturbation methods for ordinary differential equations: W.K.B., strained co-ordinates, matched asymptotics, multiple scales. (Emphasizes techniques; problems drawn from physics and engineering)","APM346H1/MAT351Y1, MAT334H1/MAT354H1",,The Physical and Mathematical Universes (5),Science
APM446H1 - Applied Nonlinear Equations,"Partial differential equations appearing in physics, material sciences, biology, geometry, and engineering. Nonlinear evolution equations. Existence and long-time behaviour of solutions. Existence of static, traveling wave, self-similar, topological and localized solutions. Stability. Formation of singularities and pattern formation. Fixed point theorems, spectral analysis, bifurcation theory. Equations considered in this course may include: Allen-Cahn equation (material science), Ginzburg-Landau equation (condensed matter physics), Cahn-Hilliard (material science, biology), nonlinear Schroedinger equation (quantum and plasma physics, water waves, etc). mean curvature flow (geometry, material sciences), Fisher-Kolmogorov-Petrovskii-Piskunov (combustion theory, biology), Keller-Segel equations (biology), and Chern-Simmons equations (particle and condensed matter physics).|Joint undergraduate/graduate course - APM446H1/MAT1508H",APM346H1/MAT351Y1,,The Physical and Mathematical Universes (5),Science
APM461H1 - Combinatorial Methods,"A selection of topics from such areas as graph theory, combinatorial algorithms, enumeration, construction of combinatorial identities.|Joint undergraduate/graduate course - APM461H1/MAT1302H","MAT224H1/MAT247H1, MAT137Y1/MAT157Y1, MAT301H1/MAT347Y1",,The Physical and Mathematical Universes (5),Science
APM462H1 - Nonlinear Optimization,"An introduction to first and second order conditions for finite and infinite dimensional optimization problems with mention of available software. Topics include Lagrange multipliers, Kuhn-Tucker conditions, convexity and calculus of variations. Basic numerical search methods and software packages which implement them will be discussed.","(MAT223H1,MAT224H1) /MAT247H1, MAT235Y1/MAT237Y1/MAT257Y1",,The Physical and Mathematical Universes (5),Science
APM466H1 - Mathematical Theory of Finance,"Introduction to the basic mathematical techniques in pricing theory and risk management: Stochastic calculus, single-period finance, financial derivatives (tree-approximation and Black-Scholes model for equity derivatives, American derivatives, numerical methods, lattice models for interest-rate derivatives), value at risk, credit risk, portfolio theory.|Joint undergraduate/graduate course - APM466H1/MAT1856H","APM346H1, STA347H1",,The Physical and Mathematical Universes (5),Science
APM496H1 - Independent Readings in Applied Mathematics,Independent study under the direction of a faculty member. Topic must be outside current undergraduate offerings. Similar workload to a course that has 36 lecture hours. Not eligible for CR/NCR option.,minimum GPA 3.5 for APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor,,The Physical and Mathematical Universes (5),Science
"JMB170Y1 - Biology, Models, and Mathematics","Applications of mathematics to biological problems in physiology, genetics, evolution, growth, population dynamics, cell biology, ecology, and behaviour. Mathematical topics include: power functions and regression; exponential and logistic functions; binomial theorem and probability; calculus, including derivatives, max/min, integration, areas, integration by parts, substitution; differential equations, including linear constant coefficient systems; dynamic programming; Markov processes; and chaos. This course is intended for students in Life Sciences.",,,The Physical and Mathematical Universes (5),Science
JUM202H1 - Mathematics as an Interdisciplinary Pursuit,"A study of the interaction of mathematics with other fields of inquiry: how mathematics influences, and is influenced by, the evolution of science and culture. Art, music, and literature, as well as the more traditionally related areas of the natural and social sciences may be considered. (Offered every three years)|JUM202H1 is particularly suited as a Science Distribution Requirement course for Humanities and Social Science students.",,,The Physical and Mathematical Universes (5),Science
JUM203H1 - Mathematics as a Recreation,"A study of games, puzzles and problems focusing on the deeper principles they illustrate. Concentration is on problems arising out of number theory and geometry, with emphasis on the process of mathematical reasoning. Technical requirements are kept to a minimum. A foundation is provided for a continuing lay interest in mathematics. (Offered every three years)|JUM203H1 is particularly suited as a Science Distribution Requirement course for Humanities and Social Science students.",,,The Physical and Mathematical Universes (5),Science
JUM205H1 - Mathematical Personalities,"An in-depth study of the life, times and work of several mathematicians who have been particularly influential. Examples may include Newton, Euler, Gauss, Kowalewski, Hilbert, Hardy, Ramanujan, Gödel, Erdös, Coxeter, Grothendieck. (Offered every three years)|JUM205H1 is particularly suited as a Science Distribution Requirement course for Humanities and Social Science students.",,,The Physical and Mathematical Universes (5),Science
MAT133Y1 - Calculus and Linear Algebra for Commerce,"Mathematics of finance. Matrices and linear equations. Review of differential calculus; applications. Integration and fundamental theorem; applications. Introduction to partial differentiation; applications.|NOTE: please note Prerequisites listed below. Students without the proper prerequisites for MAT133Y1 may be deregistered from this course.|Note that MAT133Y is not a valid prerequisite for a number of more advanced quantitative courses. Students who are considering a quantitative non-Commerce PoSt, such as a math minor or a stats minor, may want to consider MAT135H and MAT136H, MAT137Y, or MAT157Y instead of MAT133Y. Specifically, a student who took MAT133Y may need to subsequently take MAT135H and MAT136H as ""extra"" or take MAT137Y or MAT157Y in order to proceed in non-Commerce PoSts.",High school level calculus,,The Physical and Mathematical Universes (5),Science
MAT135H1 - Calculus I,"In this first introduction to Calculus, students will be introduced to the tools of differential calculus, the branch of calculus that is motivated by the problem of measuring how quantities change. Students will use these tools to solve other problems, including simplifying functions with straight lines, describing how different types of change are related, and computing maximum and minimum quantities. This course will focus on developing a deep understanding of why the tools of calculus make sense and how to apply them to the social, biological, and physical sciences. It will also emphasize translating between algebraic, graphical, numerical and verbal descriptions of each concept studied.",High school level calculus,,The Physical and Mathematical Universes (5),Science
MAT136H1 - Calculus II,"This second part of the introductory Calculus sequence focuses on integral calculus beginning with the Fundamental Theorem of Calculus, the connection between two seemingly unrelated problems: measuring changing quantities and finding areas of curved shapes. Students will develop a deep understanding of the integral, and use it to: unpack equations involving derivatives; to make sense of infinite sums; to write complicated functions as 'infinite polynomials'; and to compute areas, volumes, and totals in applied problems. This course will further develop students' abilities to translate between algebraic, graphical, numerical, and verbal descriptions of mathematics in a variety of applied contexts.",MAT135H1,,The Physical and Mathematical Universes (5),Science
