Course Names,descriptions,prereq,Breadth requirements,distribution requirements
AER307H1 - Aerodynamics,"Review of fundamentals of fluid dynamics, potential-flow, Euler, and Navier-Stokes equations; incompressible flow over airfoils, incompressible flow over finite wings; compressibility effects; subsonic compressible flow over airfoils; supersonic flow; viscous flow; laminar layers and turbulent boundary layers and unsteady aerodynamics. Textbook: Anderson, J.D., Fundamentals of Aerodynamics, 3rd Edition, McGraw Hill, 2001.",AER210H1 or MIE312H1,,
AER525H1 - Robotics,"The course addresses fundamentals of analytical robotics as well as design and control of industrial robots and their instrumentation. Topics include forward, inverse, and differential kinematics, screw representation, statics, inverse and forward dynamics, motion and force control of robot manipulators, actuation schemes, task-based and workspace design, mobile manipulation, and sensors and instrumentation in robotic systems. A series of experiments in the Robotics Laboratory will illustrate the course subjects.",AER301H1 and AER372H1,,
APS100H1 - Orientation to Engineering,"This course is designed to help students transition into first-year engineering studies and to develop and apply a greater understanding of the academic learning environment, the field of engineering, and how the fundamental mathematics and sciences are used in an engineering context. Topics covered include: study skills, time management, problem solving, successful teamwork, effective communications, exam preparation, stress management and wellness, undergraduate research, extra- and co-curricular involvement, engineering disciplines and career opportunities, and applications of math and science in engineering.",,,
APS106H1 - Fundamentals of Computer Programming,"An introduction to computer systems and software. Topics include the representation of information, algorithms, programming languages, operating systems and software engineering. Emphasis is on the design of algorithms and their implementation in software. Students will develop a competency in the Python programming language. Laboratory exercises will explore the concepts of both Structure-based and Object-Oriented programming using examples drawn from mathematics and engineering applications.",,,
APS110H1 - Engineering Chemistry and Materials Science,"This course is structured around the principle of the structure-property relationship. This relationship refers to an understanding of the microstructure of a solid, that is, the nature of the bonds between atoms and the spatial arrangement of atoms, which permits the explanation of observed behaviour. Observed materials behaviour includes mechanical, electrical, magnetic, optical, and corrosive behaviour. Topics covered in this course include: structure of the atom, models of the atom, electronic configuration, the electromagnetic spectrum, band theory, atomic bonding, optical transparency of solids, magnetic properties, molecular bonding, hybridized orbitals, crystal systems, lattices and structures, crystallographic notation, imperfections in solids, reaction rates, activation energy, solid-state diffusion, materials thermodynamics, free energy, and phase equilibrium.",,,
APS111H1 - Engineering Strategies & Practice I,"This course introduces and provides a framework for the design process. Students are introduced to communication as an integral component of engineering practice. The course is a vehicle for understanding problem solving and developing communications skills. This first course in the two Engineering Strategies and Practice course sequence introduces students to the process of engineering design, to strategies for successful team work, and to design for human factors, society and the environment. Students write team and individual technical reports.",,,
APS112H1 - Engineering Strategies & Practice II,"This course introduces and provides a framework for the design process, problem solving and project management. Students are introduced to communication as an integral component of engineering practice. The course is a vehicle for practicing team skills and developing communications skills. Building on the first course, this second course in the two Engineering Strategies and Practice course sequence introduces students to project management and to the design process in greater depth. Students work in teams on a term length design project. Students will write a series of technical reports and give a team based design project presentation.",,,
APS360H1 - Applied Fundamentals of Machine Learning,"A basic introduction to the history, technology, programming and applications of the fast evolving field of machine learning. Topics to be covered may include neural networks, autoencoders/decoders, recurrent neural networks, natural language processing, and generative adversarial networks. Special attention will be paid to fairness and ethics issues surrounding machine learning. An applied approach will be taken, where students get hands-on exposure to the covered techniques through the use of state-of-the-art machine learning software frameworks.",APS105H1/APS106H1/ESC180H1/CSC180H1; APS163/MAT187H1/ESC195H1; MAT185H1/MAT188H1,,
APS490Y1 - Multi-Disciplinary Capstone Design,"An experience in multi-disciplinary engineering practice through a significant, open-ended, client-driven design project in which student teams address stakeholder needs through the use of a creative and iterative design process.",Permission of student's home department,,
APS502H1 - Financial Engineering,"This course will focus on capital budgeting, financial optimization, and project evaluation models and their solution techniques. In particular, linear, non-linear, and integer programming models and their solutions techniques will be studied. The course will give engineering students a background in modern capital budgeting and financial techniques that are relevant in practival engineering and commercial settings.","MAT186H1, MAT187H1, MAT188H1, MIE236H1, MIE237H1, or equivalent.",,
APS511H1 - Inventions and Patents for Engineers,"Teaches the process of preparing a patent application for an invention for engineers and scientists. Teaches methods to take an invention from conception to a level that a patent application can be filed on it. Describes how to write an invention disclosure. Describes how to prepare the background section, brief listing of figures, detailed description of the invention, independent and dependent claims, abstract, and artwork. Teaches use of patent search engines.",,,
BME331H1 - Physiological Control Systems,"Introduces physiological concepts and selected physiological control systems present in the human body, and proposes quantitative modeling approaches for these systems. Topics covered will include (1) the endocrine system and its subsystems, including glucose regulation and the stress response, (2) the cardiovascular system and related aspects such as cardiac output, venous return, control of blood flow by the tissues, and nervous regulation of circulation, and (3) the nervous and musculoskeletal systems, including the control of voluntary motion. Linear control theory will be used to develop skills in system modeling and examine concepts of system response and system control in the context of a healthy human body.",CHE353H1,,
BME520H1 - Imaging Case Studies in Clinical Engineering,"An introduction to current practices in modern radiology - the detection and assessment of various human diseases using specialized imaging tools (e.g., MRI, CT, ultrasound, and nuclear imaging) from the perspective of the end-user, the clinician. Course content will include lectures delivered by radiologists describing normal anatomy and physiology as well as tissue pathophysiology (i.e., disease). Visualization and characterization using medical imaging will be described, with core lecture material complemented by industry representative guest lectures where challenges and opportunities in the development of new medical imaging technologies for niche applications will be discussed.|Note: BME520H1 will not be offered for the 2018-19 academic year.",BME595H1,,
BME595H1 - Medical Imaging,"An introductory course to medical imaging and is designed as a final year course for engineers. The main clinical imaging modalities are covered: magnetic resonance imaging, ultrasound imaging, x-ray and computed tomography, nuclear medicine, and clinical optical imaging. Emphasis is placed on the underlying physical and mathematical concepts behind each modality, and applications are discussed in the context of how different modalities complement one another in the clinical setting. Early year engineering concepts are extensively used, including: basic electromagnetics theory, fields and waves, signals and systems, digital signal processing, differential equations and calculus, and probability and random processes. The laboratories involve image reconstruction and analysis for the various imaging modalities and a live animal imaging session.",,,
CHE353H1 - Engineering Biology,"Using a quantitative, problem solving approach, this course will introduce basic concepts in cell biology and physiology. Various engineering modelling tools will be used to investigate aspects of cell growth and metabolism, transport across cell membranes, protein structure, homeostasis, nerve conduction and mechanical forces in biology.",,,
CHE354H1 - Cellular and Molecular Biology,"This course will cover the principles of molecular and cellular biology as they apply to both prokaryotic and eukaryotic cells. Topics will include: metabolic conversion of carbohydrates, proteins, and lipids; nucleic acids; enzymology; structure and function relationships within cells; and motility and growth. Genetic analysis, immunohistochemistry, hybridomis, cloning, recombinant DNA and biotechnology will also be covered. This course will appeal to students interested in environmental microbiology, biomaterials and tissue engineering, and bioprocesses.",CHE353H1,,
CHE475H1 - Biocomposites: Mechanics and Bioinspiration,"An overview on structure, processing and application of natural and biological materials, biomaterials for biomedical applications, and fibre-reinforced eco-composites based on renewable resources will be provided. Fundamental principles related to linear elasticity, linear viscoelasticity, dynamic mechanical response, composite reinforcement mechanics, and time-temperature correspondence will be introduced. Novel concepts in comparative biomechanics, biomimetic and bio-inspired material design, and materials' ecological and environmental impact will be discussed. In addition, key material processing methods and testing and characterization techniques will be presented. Structure-property relationships for materials broadly ranging from natural materials, including wood, bone, cell, and soft tissue, to synthetic composite materials for industrial and biomedical applications will be covered.",,,
CIV100H1 - Mechanics,"The principles of statics are applied to composition and resolution of forces, moments and couples. The equilibrium states of structures are examined. Throughout, the free body diagram concept is emphasized. Vector algebra is used where it is most useful, and stress blocks are introduced. Shear force diagrams, bending moment diagrams and stress-strain relationships for materials are discussed. Stress and deformation in axially loaded members and flexural members (beams) are also covered.",,,
CIV220H1 - Urban Engineering Ecology,"Core Course in the Environmental Engineering Minor Basic concepts of ecology within the context of urban environments. Response of organisms, populations, dynamic predator-prey and competition processes, and ecosystems to human activities. Thermodynamic basis for food chains, energy flow, biodiversity and ecosystem stability. Biogeochemical cycles, habitat fragmentation and bioaccumulation. Introduction to industrial ecology and life cycle assessment principles. Urban metabolism and material flow analysis of cities. Response of receiving waters to pollution and introduction to waste water treatment. Emphasis is on identifying the environment/engineering interface and minimizing environmental impacts.",CHE112H1,,
CIV300H1 - Terrestrial Energy Systems,"Core Course in the Sustainable Energy Minor Various earth systems for energy transformation, storage and transport are explored. Geological, hydrological, biological, cosmological and oceanographic energy systems are considered in the context of the Earth as a dynamic system, including the variation of solar energy received by the planet and the redistribution of this energy through various radiative, latent and sensible heat transfer mechanisms. It considers the energy redistribution role of large scale atmospheric systems, of warm and cold ocean currents, the role of the polar regions, and the functioning of various hydrological systems. The contribution and influence of tectonic systems on the surface systems is briefly introduced, as well the important role of energy storage processes in physical and biological systems, including the accumulation of fossil fuel reserves.",,,
CIV440H1 - Environmental Impact and Risk Assessment,"Core Course in the Environmental Engineering Minor. The process and techniques for assessing and managing the impacts on and risks to humans and the ecosystem associated with engineered facilities, processes and products. Both biophysical and social impacts are addressed. Topics include: environmental assessment processes; environmental legislation; techniques for assessing impacts; engineering risk analysis; health risk assessment; risk management and communication; social impact assessment; cumulative impacts; environmental management systems; the process of considering alternative methods for preventing and controlling impacts; and stakeholder involvement and public participation. Examples are drawn from various engineering activities and facilities such as energy production, chemical production, treatment plants, highways and landfills.",,,
