Course Names,descriptions,prereq,Breadth requirements,distribution requirements
APS100H1 - Orientation to Engineering,"This course is designed to help students transition into first-year engineering studies and to develop and apply a greater understanding of the academic learning environment, the field of engineering, and how the fundamental mathematics and sciences are used in an engineering context. Topics covered include: study skills, time management, problem solving, successful teamwork, effective communications, exam preparation, stress management and wellness, undergraduate research, extra- and co-curricular involvement, engineering disciplines and career opportunities, and applications of math and science in engineering.",,,
APS106H1 - Fundamentals of Computer Programming,"An introduction to computer systems and software. Topics include the representation of information, algorithms, programming languages, operating systems and software engineering. Emphasis is on the design of algorithms and their implementation in software. Students will develop a competency in the Python programming language. Laboratory exercises will explore the concepts of both Structure-based and Object-Oriented programming using examples drawn from mathematics and engineering applications.",,,
APS110H1 - Engineering Chemistry and Materials Science,"This course is structured around the principle of the structure-property relationship. This relationship refers to an understanding of the microstructure of a solid, that is, the nature of the bonds between atoms and the spatial arrangement of atoms, which permits the explanation of observed behaviour. Observed materials behaviour includes mechanical, electrical, magnetic, optical, and corrosive behaviour. Topics covered in this course include: structure of the atom, models of the atom, electronic configuration, the electromagnetic spectrum, band theory, atomic bonding, optical transparency of solids, magnetic properties, molecular bonding, hybridized orbitals, crystal systems, lattices and structures, crystallographic notation, imperfections in solids, reaction rates, activation energy, solid-state diffusion, materials thermodynamics, free energy, and phase equilibrium.",,,
APS111H1 - Engineering Strategies & Practice I,"This course introduces and provides a framework for the design process. Students are introduced to communication as an integral component of engineering practice. The course is a vehicle for understanding problem solving and developing communications skills. This first course in the two Engineering Strategies and Practice course sequence introduces students to the process of engineering design, to strategies for successful team work, and to design for human factors, society and the environment. Students write team and individual technical reports.",,,
APS112H1 - Engineering Strategies & Practice II,"This course introduces and provides a framework for the design process, problem solving and project management. Students are introduced to communication as an integral component of engineering practice. The course is a vehicle for practicing team skills and developing communications skills. Building on the first course, this second course in the two Engineering Strategies and Practice course sequence introduces students to project management and to the design process in greater depth. Students work in teams on a term length design project. Students will write a series of technical reports and give a team based design project presentation.",,,
BME331H1 - Physiological Control Systems,"Introduces physiological concepts and selected physiological control systems present in the human body, and proposes quantitative modeling approaches for these systems. Topics covered will include (1) the endocrine system and its subsystems, including glucose regulation and the stress response, (2) the cardiovascular system and related aspects such as cardiac output, venous return, control of blood flow by the tissues, and nervous regulation of circulation, and (3) the nervous and musculoskeletal systems, including the control of voluntary motion. Linear control theory will be used to develop skills in system modeling and examine concepts of system response and system control in the context of a healthy human body.",CHE353H1,,
CHE112H1 - Physical Chemistry,"A course in physical chemistry. Topics discussed include systems and their states, stoichiometry, the properties of gases, the laws of chemical thermodynamics (calculations involving internal energy, enthalpy, free energy, and entropy), phase equilibrium, chemical equilibrium, ionic equilibrium, acids and bases, solutions, colligative properties, electrochemistry, and corrosion.",,,
CHE324H1 - Process Design,"This course presents the philosophy and typical procedures of chemical engineering design projects. The course begins at the design concept phase. Material and energy balances are reviewed along with the design of single unit operations and equipment specification sheets. The impact of recycles on equipment sizing is covered. Safety, health and environmental regulations are presented. These lead to the development of safe operating procedures. The systems for developing Piping and Instrumentation diagrams are presented. Process safety studies such as HAZOPS are introduced. Typical utility systems such as steam, air and vacuum are discussed. Project economics calculations are reviewed.",,,
CHE332H1 - Reaction Kinetics,"The rates of chemical processes. Topics include: measurement of reaction rates, reaction orders and activation energies; theories of reaction rates; reaction mechanisms and networks; development of the rate law for simple and complex kinetic schemes; approach to equilibrium; homogeneous and heterogeneous catalysis. Performance of simple chemical reactor types.",,,
CHE333H1 - Chemical Reaction Engineering,"Covers the basics of simple reactor design and performance, with emphasis on unifying the concepts in kinetics, thermodynamics and transport phenomena. Topics include flow and residence time distributions in various reactor types as well as the influence of transport properties (bulk and interphase) on kinetics and reactor performance. The interplay of these facets of reaction engineering is illustrated by use of appropriate computer simulations.",,,
CHE353H1 - Engineering Biology,"Using a quantitative, problem solving approach, this course will introduce basic concepts in cell biology and physiology. Various engineering modelling tools will be used to investigate aspects of cell growth and metabolism, transport across cell membranes, protein structure, homeostasis, nerve conduction and mechanical forces in biology.",,,
CHE354H1 - Cellular and Molecular Biology,"This course will cover the principles of molecular and cellular biology as they apply to both prokaryotic and eukaryotic cells. Topics will include: metabolic conversion of carbohydrates, proteins, and lipids; nucleic acids; enzymology; structure and function relationships within cells; and motility and growth. Genetic analysis, immunohistochemistry, hybridomis, cloning, recombinant DNA and biotechnology will also be covered. This course will appeal to students interested in environmental microbiology, biomaterials and tissue engineering, and bioprocesses.",CHE353H1,,
"CHE562H1 - Applied Chemistry IV - Applied Polymer Chemistry, Science and Engineering","This course serves as an introduction to concepts in polymer chemistry, polymer science and polymer engineering. This includes a discussion of the mechanisms of step growth, chain growth and ring-opening polymerizations with a focus on industrially relevant polymers and processes. The description of polymers in solution as well as the solid state will be explored. Several modern polymer characterization techniques are introduced including gel permeation chromatography, differential scanning calorimetry, thermal gravimetric analysis and others.",,,
CHE565H1 - Aqueous Process Engineering,"Application of aqueous chemical processing to mineral, environmental and industrial engineering. The course involves an introduction to the theory of electrolyte solutions, mineral-water interfaces, dissolution and crystallization processes, metal ion separations, and electrochemical processes in aqueous reactive systems. Applications and practice of (1) metal recovery from primary (i.e. ores) and secondary (i.e. recycled) sources by hydrometallurgical means, (2) treatment of aqueous waste streams for environmental protection, and (3) production of high-value-added inorganic materials.",,,
CIV100H1 - Mechanics,"The principles of statics are applied to composition and resolution of forces, moments and couples. The equilibrium states of structures are examined. Throughout, the free body diagram concept is emphasized. Vector algebra is used where it is most useful, and stress blocks are introduced. Shear force diagrams, bending moment diagrams and stress-strain relationships for materials are discussed. Stress and deformation in axially loaded members and flexural members (beams) are also covered.",,,
ECE110H1 - Electrical Fundamentals,"An overview of the physics of electricity and magnetism: Coulomb's law, Gauss' law, Ampere's law, Faraday's law. Physics of capacitors, resistors and inductors. An introduction to circuit analysis: resistive circuits, nodal and mesh analysis, 1st order RC and RL transient response and sinusoidal steady-state analysis.",,,
ECE335H1 - Introduction to Electronic Devices,"Electrical behaviour of semiconductor structures and devices. Metal-semiconductor contacts; pn junctions, diodes, photodetectors, LED's; bipolar junction transistors, Ebers-Moll and hybrid-pi models; field effect transistors, MOSFET, JFET/MESFET structures and models; thyristors and semiconductor lasers.",MAT291H1 and ECE221H1 and ECE231H1,,
FOR424H1 - Innovation and Manufacturing of Sustainable Materials,"Sustainable materials are a mandate for sustainable societies. This course will explore the manufacturing, engineering principles and design fundamentals for creating sustainable materials from renewable resources. Special emphasis will be on bioplastics, biofibre, nanobiofibre, biocomposites and nanobiocomposites. Written communication and design skills will be developed through tutorials and assignments.",,,
MAT186H1 - Calculus I,"Topics include: limits and continuity; differentiation; applications of the derivative - related rates problems, curve sketching, optimization problems, L'Hopital's rule; definite and indefinite integrals; the Fundamental Theorem of Calculus; applications of integration in geometry, mechanics and other engineering problems.",,,
MAT187H1 - Calculus II,"Topics include: techniques of integration, an introduction to mathematical modeling with differential equations, infinite sequences and series, Taylor series, parametric and polar curves, vector-valued functions, partial differentiation, and application to mechanics and other engineering problems.",APS162H1/MAT186H1,,
MAT188H1 - Linear Algebra,"This course covers systems of linear equations and Gaussian elimination, applications; vectors in Rn, independent sets and spanning sets; linear transformations, matrices, inverses; subspaces in Rn, basis and dimension; determinants; eigenvalues and diagonalization; systems of differential equations; dot products and orthogonal sets in Rn; projections and the Gram-Schmidt process; diagonalizing symmetric matrices; least squares approximation. Includes an introduction to numeric computation in a weekly laboratory.",,,
MAT294H1 - Calculus and Differential Equations,"Partial differentiation, grad, div, curl, multiple integrals, line integrals, surface integrals, differential equations, first order differential equations, homogeneous linear differential equations, boundary conditions. Formulation of various problems relevant to materials and mining engineering - the concepts above are used.",,,
MIE221H1 - Manufacturing Engineering,"Production Fundamentals: Metal casting; metal forming - rolling, forging, extrusion and drawing, and sheet-metal forming; plastic/ceramic/glass forming; metal removal - turning, drilling/ boring/reaming, milling, and grinding; non-traditional machining - ECM, EDM and laser cutting; welding; surface treatment; metrology. Environmental issues in manufacturing processes, recycling of materials. Automation Fundamentals: Automation in material processing and handling - NC, robotics and automatically-guided vehicles; flexible manufacturing - group technology, cellular manufacturing and FMS; and computer-aided design - geometric modelling, computer graphics, concurrent engineering and rapid prototyping.|Instruction and assessment of communication centered around course deliverables that will form part of an ongoing design portfolio.",,,
