Course Names,descriptions,prereq,Breadth requirements,distribution requirements
APS100H1 - Orientation to Engineering,"This course is designed to help students transition into first-year engineering studies and to develop and apply a greater understanding of the academic learning environment, the field of engineering, and how the fundamental mathematics and sciences are used in an engineering context. Topics covered include: study skills, time management, problem solving, successful teamwork, effective communications, exam preparation, stress management and wellness, undergraduate research, extra- and co-curricular involvement, engineering disciplines and career opportunities, and applications of math and science in engineering.",,,
APS106H1 - Fundamentals of Computer Programming,"An introduction to computer systems and software. Topics include the representation of information, algorithms, programming languages, operating systems and software engineering. Emphasis is on the design of algorithms and their implementation in software. Students will develop a competency in the Python programming language. Laboratory exercises will explore the concepts of both Structure-based and Object-Oriented programming using examples drawn from mathematics and engineering applications.",,,
APS110H1 - Engineering Chemistry and Materials Science,"This course is structured around the principle of the structure-property relationship. This relationship refers to an understanding of the microstructure of a solid, that is, the nature of the bonds between atoms and the spatial arrangement of atoms, which permits the explanation of observed behaviour. Observed materials behaviour includes mechanical, electrical, magnetic, optical, and corrosive behaviour. Topics covered in this course include: structure of the atom, models of the atom, electronic configuration, the electromagnetic spectrum, band theory, atomic bonding, optical transparency of solids, magnetic properties, molecular bonding, hybridized orbitals, crystal systems, lattices and structures, crystallographic notation, imperfections in solids, reaction rates, activation energy, solid-state diffusion, materials thermodynamics, free energy, and phase equilibrium.",,,
APS111H1 - Engineering Strategies & Practice I,"This course introduces and provides a framework for the design process. Students are introduced to communication as an integral component of engineering practice. The course is a vehicle for understanding problem solving and developing communications skills. This first course in the two Engineering Strategies and Practice course sequence introduces students to the process of engineering design, to strategies for successful team work, and to design for human factors, society and the environment. Students write team and individual technical reports.",,,
APS112H1 - Engineering Strategies & Practice II,"This course introduces and provides a framework for the design process, problem solving and project management. Students are introduced to communication as an integral component of engineering practice. The course is a vehicle for practicing team skills and developing communications skills. Building on the first course, this second course in the two Engineering Strategies and Practice course sequence introduces students to project management and to the design process in greater depth. Students work in teams on a term length design project. Students will write a series of technical reports and give a team based design project presentation.",,,
APS502H1 - Financial Engineering,"This course will focus on capital budgeting, financial optimization, and project evaluation models and their solution techniques. In particular, linear, non-linear, and integer programming models and their solutions techniques will be studied. The course will give engineering students a background in modern capital budgeting and financial techniques that are relevant in practival engineering and commercial settings.","MAT186H1, MAT187H1, MAT188H1, MIE236H1, MIE237H1, or equivalent.",,
CHE112H1 - Physical Chemistry,"A course in physical chemistry. Topics discussed include systems and their states, stoichiometry, the properties of gases, the laws of chemical thermodynamics (calculations involving internal energy, enthalpy, free energy, and entropy), phase equilibrium, chemical equilibrium, ionic equilibrium, acids and bases, solutions, colligative properties, electrochemistry, and corrosion.",,,
CHE565H1 - Aqueous Process Engineering,"Application of aqueous chemical processing to mineral, environmental and industrial engineering. The course involves an introduction to the theory of electrolyte solutions, mineral-water interfaces, dissolution and crystallization processes, metal ion separations, and electrochemical processes in aqueous reactive systems. Applications and practice of (1) metal recovery from primary (i.e. ores) and secondary (i.e. recycled) sources by hydrometallurgical means, (2) treatment of aqueous waste streams for environmental protection, and (3) production of high-value-added inorganic materials.",,,
CIV100H1 - Mechanics,"The principles of statics are applied to composition and resolution of forces, moments and couples. The equilibrium states of structures are examined. Throughout, the free body diagram concept is emphasized. Vector algebra is used where it is most useful, and stress blocks are introduced. Shear force diagrams, bending moment diagrams and stress-strain relationships for materials are discussed. Stress and deformation in axially loaded members and flexural members (beams) are also covered.",,,
CIV300H1 - Terrestrial Energy Systems,"Core Course in the Sustainable Energy Minor Various earth systems for energy transformation, storage and transport are explored. Geological, hydrological, biological, cosmological and oceanographic energy systems are considered in the context of the Earth as a dynamic system, including the variation of solar energy received by the planet and the redistribution of this energy through various radiative, latent and sensible heat transfer mechanisms. It considers the energy redistribution role of large scale atmospheric systems, of warm and cold ocean currents, the role of the polar regions, and the functioning of various hydrological systems. The contribution and influence of tectonic systems on the surface systems is briefly introduced, as well the important role of energy storage processes in physical and biological systems, including the accumulation of fossil fuel reserves.",,,
CIV324H1 - Geotechnical Engineering II,"Building on CME321, more complex aspects of geotechnical analysis and design are considered. Topics include: mineralogy; soil identification and classification; laboratory- and field-based soil index tests; correlations of index test results to engineering properties; vertical stress distribution; soil-foundation interaction; volume change and consolidation of clay and settlement. Shear strength of soil and slope stability analysis are also discussed. Laboratories are held for soil identification and classification, and confined triaxial compression tests of clay and sand.",CME321H1,,
CIV420H1 - Construction Engineering,"This course considers the engineering aspects of construction including earthmoving, equipment productivity, fleet balancing, formwork design, shoring, hoisting, aggregate production, equipment operating costs, and modular construction. Several construction projects will be reviewed to demonstrate methods and processes. Students will be expected to visit construction sites, so safety boots and hard hats are required.",,,
CIV440H1 - Environmental Impact and Risk Assessment,"Core Course in the Environmental Engineering Minor. The process and techniques for assessing and managing the impacts on and risks to humans and the ecosystem associated with engineered facilities, processes and products. Both biophysical and social impacts are addressed. Topics include: environmental assessment processes; environmental legislation; techniques for assessing impacts; engineering risk analysis; health risk assessment; risk management and communication; social impact assessment; cumulative impacts; environmental management systems; the process of considering alternative methods for preventing and controlling impacts; and stakeholder involvement and public participation. Examples are drawn from various engineering activities and facilities such as energy production, chemical production, treatment plants, highways and landfills.",,,
CIV523H1 - Geotechnical Design,"This course is built around a transportation project that contains all the essential geotechnical investigation and design elements and illustrates how they all come together on a project. The students will be taken through the entire design process from project initiation to construction. In essence, the project will include a bridge over a river with some property constraints requiring the use of a retaining wall as well as deep and shallow foundations and some groundwater control. The highway will require a soil cut. One section crosses a low-lying swampy area that will require embankment construction over deep soft soils. A short tunnel section is planned beneath a railway that cannot be taken out of service. A pavement design will be required along the entire route as well as materials testing and construction monitoring.",CME321H1; equivalent or permission of instructor,,
CIV549H1 - Groundwater Flow and Contamination,Mechanics of saturated and unsaturated fluid flow in porous media. Confined and unconfined flow. Flow to wells. Analytical and numerical solutions of groundwater flow equations. Non-reactive and reactive contaminant transport on groundwater systems. Analytical and numerical solutions of contaminant transport equations. Flow and solute transport in fractured porous media. Assessment of environmental impacts of waste disposal operations. Remediation of contaminated groundwater.,"CME270H1, CIV250H1 or equivalent",,
CIV580H1 - Engineering and Management of Large Projects,"This technical elective course will investigate the role of stakeholders in major civil engineering projects; the complexities of managing project stages, multiple stakeholders, and technical challenges, and, social and environmental factors.|Each week includes a different speaker who can address issues related to technical, social, and environmental challenges in the project and how they were overcome.",,,
CME210H1 - Solid Mechanics I,"An introduction to the mechanics of deformable bodies. General biaxial and triaxial stress conditions in continua are studied, as are elastic stress, strain and deformation relations for members subjected to axial load, bending and shear. Properties of plane sections, moment-area theorems for calculating deflection, and Mohr's circle representation of stress and of moment of inertia are examined, followed by a look at stability.","CIV100H1, MAT186H1, MAT187H1",,
CME259H1 - Technology in Society and the Biosphere I,"Humanities and Social Science ElectiveThis course teaches future engineers to look beyond their specialized domains of expertise in order to understand how technology functions within human life, society and the biosphere. By providing this context for design and decision-making, students will be enabled to do more than achieve the desired results by also preventing or significantly reducing undesired consequences. A more preventively-oriented mode of practicing engineering will be developed in four areas of application: materials and production, energy, work and cities. The emphasis within these topics will reflect the interests of the class.",,,
CME261H1 - Engineering Mathematics I,"This course deals with both numerical methods for engineering analysis (solution of linear and non-linear equations, interpolation, numerical integration) and advanced topics in analytical calculus (multiple integrals and vector analysis). Within the numerical methods portion of the course emphasis is placed on problem formulation, solution algorithm design and programming applications. Within the analytical calculus portion emphasis is placed on the mathematical foundations of engineering practice and the interrelationship between analytical and numerical solution methods.","MAT188H1, MAT187H1",,
CME262H1 - Engineering Mathematics II,"This course continues the study of numerical and analytical methods for civil engineering analysis. Analytical and numerical methods for solving ordinary differential equations are treated in some detail, followed by numerical solution methods for partial differential equations. The final major topic of the course deals with an introduction to optimization. Emphasis is placed throughout the course on problem formulation, solution algorithm design and programming applications.",CME261H1,,
CME263H1 - Probability Theory for Civil and Mineral Engineers,"Probability theory as the study of random phenomena in Civil and Mineral Engineering systems, including the definition of probability, conditional probability, Bayes' theorem in discrete and continuous sample spaces. Common single and multivariate distributions. Mathematical expectation including mean and variance. Independence. An introduction to realizations of probability models and parameter estimation.",,,
CME270H1 - Fluid Mechanics I,"Fluid and flow characteristics, applications, dimensions and units. Fluid statics. One-dimensional flow including conservation of mass, energy and momentum. Introduction to dimensional analysis and similitude, laminar and turbulent flow, boundary layer concept, and flow about immersed objects. Calculation of flow in closed conduits and open channels.",,,
