Course Names,descriptions,prereq,Breadth requirements,distribution requirements
HMU111H1 - Introduction to Music and Society,,,,
HMU126H1 - Historical Survey II,,,,
HMU225H1 - Historical Survey I,,In Year 2.,,
HMU340H1 - Music in North America,"Study of music in North American life. Topics may include folk and popular music, jazz and art music.","HMU111H1, HMU126H1, HMU225H1",,
HMU345H1 - Global Popular Musics,"Global Popular Musics is an introduction to popular music in its social and cultural context in a variety of international settings. Genres to be covered may include, but are not limited to, rock, hip-hop, country, and “world music”. The course will take an issues-based approach to the study of popular music, focusing on topics such as the interplay of tradition and modernity; media and technology; race, gender, sexuality, class, and other facets of identity; urbanization and migration; and the markets and legal structures surrounding music.","HMU111H1, HMU126H1, HMU225H1",,
HMU425H1 - Topics: Medieval Music,,"Completion of 4-course History requirement and one additional HMU elective, or P.I.",,
HMU426H1 - Topics: Renaissance Music,,"Completion of 4-course History requirement and one additional HMU elective, or P.I.",,
HMU430H1 - Topics: Classical Music,,"Completion of 4-course History requirement and one additional HMU elective, or P.I.",,
HMU431H1 - Topics: Romantic Music,,"Completion of 4-course History requirement and one additional HMU elective, or P.I.",,
HMU432H1 - Topics: 20th Century Music,,"Completion of 4-course History requirement and one additional HMU elective, or P.I.",,
HMU433H1 - Topics: Ethnomusicology,,"Completion of 4-course History requirement and one additional HMU elective, or P.I.",,
HMU435H1 - Topics in Ethnomusicology: Current Issues,,"Completion of 4-course History requirement and one additional HMU elective, or P.I.",,
MUS110H1 - Introduction to Music History and Culture,"Introduction to form, style and the interrelationship of music and culture. A basic ability to read music is required.",,Creative and Cultural Representations (1),Humanities
MUS111H1 - Historical Survey of Western Music,Historical survey of Western art music from the Middle Ages to the present. A basic ability to read music is required.,,Creative and Cultural Representations (1),Humanities
MUS120Y1 - Vocal and Instrumental Ensembles I,"Students rehearse and perform in concerts and reading sessions as assigned by the Faculty of Music. Provides experience in choral groups, orchestra, or in concert band and large wind groups of diverse instrumentation. Development of musicianship skills through performance of large ensemble works; emphasis on sight-reading, ear-training, and musical knowledge.|Attendance at all sessions is required. Placement audition and permission of the Department required.|Download the excerpt that is relevant to the instrument you would like to audition on; excerpts will be available at www.music.utoronto.ca beginning early July.",,Creative and Cultural Representations (1),Humanities
MUS200H1 - Music of the World's Peoples,"A survey of musical traditions from various regions of the world, with particular emphasis on the sociocultural contexts in which those musics are created and appreciated. No prior background in music or ability to read music is required.",,Creative and Cultural Representations (1),Humanities
