Course Names,descriptions,prereq,Column 4,Breadth requirements,distribution requirements
JSC270H1 - Data Science I,"This course is restricted to students in the Data Science Specialist program. Data exploration and preparation; data visualization and presentation; and computing with data will be introduced. Professional skills, such as oral and written communication, and ethical skills for data science will be introduced. Data science workflows will be integrated throughout the course. These topics will be explored through case studies and collaboration with researchers in other fields.","STA257H1, CSC207H1",,The Physical and Mathematical Universes (5),
JSC370H1 - Data Science II,"This course is restricted to students in the Data Science Specialist program. Students will learn to identify and answer questions through the application of exploratory data analysis, data visualization, statistical methods or machine learning algorithms to complex data. Software development for data science and reproducible workflows. Communication of statistical information at various technical levels, ethical practice of data analysis and software development, and teamwork skills. Topics will be explored through case studies and collaboration with researchers in other fields.","JSC270H1, STA261H1, MAT237Y1/MAT257Y1, CSC263H1, STA302H1, CSC343H1",,The Physical and Mathematical Universes (5),Science
JSC470H1 - Data Science III,"This course is restricted to students in the Data Science Specialist program. Research topics and applications of data science methods will be explored through case studies and collaboration with researchers in other fields. Data analysis, visualization, and communication of statistical information at various technical levels, ethical practice of data analysis and software development, and teamwork skills.","JSC370H1, STA314H1/CSC411H1/CSC311H1, STA303H1/STA305H1",,The Physical and Mathematical Universes (5),Science
STA130H1 - An Introduction to Statistical Reasoning and Data Science,"This course, intended for students considering a program in Statistical Sciences, discusses the crucial role played by statistical reasoning in solving challenging problems from natural science, social science, technology, health care, and public policy, using a combination of logical thinking, mathematics, computer simulation, and oral and written discussion and analysis.",,,The Physical and Mathematical Universes (5),Science
STA197H1 - Thinking Better with Statistics,"This course explores how our statistical intuitions and ways of thinking can let us down. There’s no need to be a math whiz to be a better statistical thinker. Everyone can become a more critical consumer of claims presented in media, advertisements and by politicians—especially those relevant to our own health and wealth. This course uses real-world examples and tours common and avoidable statistical traps and tricks. Restricted to first-year students. Not eligible for CR/NCR option.",,,The Physical and Mathematical Universes (5),Science
STA198H1 - Probabilities Everywhere,"This course examines the meaning and mathematics of probabilities, and how they arise in our everyday lives. Specific topics may include: the nature of coincidences, the concept of luck, games involving dice and cards, long run averages in casinos, margins of error in polls, the interpretation of medical studies, crime statistics, decision making, pseudorandomness, and Monte Carlo algorithms. Restricted to first-year students. Not eligible for CR/NCR option.",Grade 12 Mathematics,,The Physical and Mathematical Universes (5),Science
STA199H1 - Statistical Evidence: Truth or Myth?,"This course explores the impact Statistics has made and continues to make on everyday life through science, law, and the modern methods for information processing. Statistical principles will be illustrated using examples from real life including business, romance and health. Restricted to first-year students. Not eligible for CR/NCR option.",,,The Physical and Mathematical Universes (5),Science
STA201H1 - Why Numbers Matter,"This course teaches non-science students the importance of quantitative reasoning to many different areas. It explores a variety of applications to such diverse subjects as economics, gambling, politics, poetry, graphics, music, medicine, demographics, sports, secret codes, and more, using only basic high school level mathematics combined with logical thinking.",,,The Physical and Mathematical Universes (5),Science
STA220H1 - The Practice of Statistics I,"An introductory course in statistical concepts and methods, emphasizing exploratory data analysis for univariate and bivariate data, sampling and experimental designs, basic probability models, estimation and tests of hypothesis in one-sample and comparative two-sample studies. A statistical computing package is used but no prior computing experience is assumed. Note: STA220H1does not count as a distribution requirement course.","Grade 12 Mathematics and one University course in the physical, social, or life sciences",,The Physical and Mathematical Universes (5),
STA221H1 - The Practice of Statistics II,"Continuation of STA220H1 (or similar course), emphasizing major methods of data analysis such as analysis of variance for one factor and multiple factor designs, regression models, categorical and non-parametric methods (Note: STA221H1 does not count as a distribution requirement course).",STA220H1/STA288H1/PSY201H1/GGR270H1/EEB225H1/STAB22H3/STA220H5,,The Physical and Mathematical Universes (5),
