Course Names,descriptions,prereq,Breadth requirements,distribution requirements
ACT199H1 - Decipher Financial Puzzles in the Media and Pop Culture,"Have you ever watched a pundit’s passionate rant over financial crisis on TV and wondered whether he was right or wrong? Did you get the full story after watching movies like Margin Call or The Big Short? What was the efficiency market versus behavioral finance debate all about? Did you wonder why everyone in the financial press seem to be calling for a lower debt/equity ratio on banks in the post-crisis era? If you find yourself think about those questions, this is the course for you. We will start from some basic building blocks of finance, such as time value of money and discounting, and proceed to look at some of the important financial controversies you have read or heard in the pop culture or media. Restricted to first-year students. Not eligible for CR/NCR option.",,The Physical and Mathematical Universes (5),
ACT230H1 - Mathematics of Finance for Non-Actuaries,"Introduction to financial mathematics, interest measurement, present value calculation, annuity valuation, loan amortization, consumer financing arrangements, bond valuation. The course is aimed at a general audience who will not be continuing in the actuarial science program. Course manuals fee: $30.",First-year Calculus,The Physical and Mathematical Universes (5),Science
ACT240H1 - Mathematics of Investment & Credit,"Interest, discount and present values, as applied to determine prices and values of annuities, mortgages, bonds, equities; loan repayment schedules and consumer finance payments in general; yield rates on investments given the costs on investments. Course manuals fee: $45.",MAT137Y1 (minimum grade 63%)/MAT157Y1 (minimum grade 60%),The Physical and Mathematical Universes (5),Science
ACT245H1 - Financial Principles for Actuarial Science I,"Term structure of interest rates, cashflow duration, convexity and immunization, forward and futures contracts, interest rate swaps, introduction to investment derivatives and hedging strategies.","ACT240H1, MAT137Y1 (minimum grade 63%)/MAT157Y1 (minimum grade 60%)",The Physical and Mathematical Universes (5),Science
ACT247H1 - Introductory Life Contingencies,"Probability theory applied to survival and to costs and risks of life assurances, life annuities, and pensions; analysis of survival distributions; international actuarial notation. Course manuals fee: $35.",ACT240H1; MAT137Y1 (minimum grade 63%)/MAT157Y1 (minimum grade 60%); STA257H1,The Physical and Mathematical Universes (5),Science
ACT348H1 - Advanced Life Contingencies,Determination of benefit premium and benefit reserves for life insurance and annuities; analysis of insurance loss random variables; theory of life contingencies for multiple lives. Course manuals fee: $40.,"ACT240H1 (minimum 63%); ACT245H1 (minimum 63%); ACT247H1 (minimum 63%); (STA257H1, STA261H1); MAT237Y1/MAT257Y1",The Physical and Mathematical Universes (5),Science
ACT349H1 - Corporate Finance for Actuarial Science,Actuarial applications of financial mathematics and economics.,"ACT240H1 (minimum 63%);  ACT245H1 (minimum 63%);  ACT247H1 (minimum 63%); ( STA257H1,  STA261H1);  MAT237Y1/ MAT257Y1",The Physical and Mathematical Universes (5),Science
ACT350H1 - Applied Probability for Actuarial Science,"The course offers an introduction to elementary probability theory and stochastic processes. The main goal of the course is to help actuarial students understand the concept of stochastic processes with particular emphasis on Markov chains that are of great importance in Life Contingencies and Property and Casualty insurance.|The course will cover the following topics: a basic review of probabilities with emphasis on conditional probabilities and expectations, discrete time Markov chains, Poisson processes, continuous time Markov chains, renewal theory and some applications, queueing theory.","ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%), STA257H1, MAT223H1/MAT240H1, MAT237Y1/MAT257Y1",The Physical and Mathematical Universes (5),Science
ACT370H1 - Financial Principles for Actuarial Science II,"Mathematical theory of financial derivatives, discrete and continuous option pricing models, hedging strategies and exotic option valuation.","ACT240H1 (minimum 63%); ACT245H1 (minimum 63%); ACT247H1 (minimum 63%); (STA257H1, STA261H1); MAT237Y1/MAT257Y1",The Physical and Mathematical Universes (5),Science
ACT371H1 - Basic Reserving Methods For P&C Insurance,"Topics covered include reserving data and triangles, diagnoses methods that range from triangle of ratios of paid claims to reported claims to triangle of reported claim ratios. The syllabus also includes projection techniques. Not eligible for CR/NCR option.","ACT240H1,  STA257H1",The Physical and Mathematical Universes (5),Science
