Course Names,descriptions,prereq,Breadth requirements,distribution requirements
"CHM101H1 - The Chemistry and Biology of Organic Molecules: Sex, Drugs and Rock and Roll!","An introduction to chemistry and chemical principles for non-scientists, with a focus on the chemistry and biology of organic molecules. The myriad roles these compounds play in our lives are discussed, including their use of pheromones, medicines and weapons, and their effect on colour, taste and smell.",,The Physical and Mathematical Universes (5),Science
CHM135H1 - Chemistry: Physical Principles,"Structure of matter, gases, liquids and solids; phase equilibria and phase diagrams; colligative properties; chemical equilibria; electrolyte solutions and electrochemistry; reaction kinetics; introduction to thermodynamics. Recommended for students in life and health science programs that involve a small amount of chemistry. (Lab Materials Fee: $25).","Chemistry SCH4U, Mathematics MHF4U + MCV4U",The Physical and Mathematical Universes (5),Science
CHM136H1 - Introductory Organic Chemistry I,"An introduction to principles of structure and their relation to reactivity of organic molecules: molecular structure, stereochemistry, functional groups, and reactions. Recommended for students in life and health science programs that involve a small amount of chemistry. (Lab Materials Fee: $25).","Chemistry SCH4U, Mathematics MHF4U + MCV4U,  CHM135H1",The Physical and Mathematical Universes (5),Science
CHM151Y1 - Chemistry: The Molecular Science,"An introduction to the major areas of modern chemistry, including organic and biological chemistry; physical chemistry and chemical physics; and inorganic/materials chemistry. The course is intended for students who will be following one of the chemistry specialist programs (including Biological Chemistry and Environmental Chemistry) or who will be including a substantial amount of chemistry in their degree (such as those following a chemistry major program). The combination of  CHM151Y1 and  CHM249H1 serves as a full year introductory course in organic chemistry with laboratory. (Lab Materials Fee: $50).|Note:  CHM151Y1 has a unique Course Community where the undergraduate experience in chemistry is greatly enhanced through a series of workshops, research seminars, tours, outreach opportunities and social activities. Two hour biweekly Course Community meetings, during laboratory class hours will alternate weeks with the  CHM151Y1 lab classes. The lab time is reserved for  CHM151Y1 activities every week of each semester.","Chemistry SCH4U, Mathematics MHF4U + MCV4U; Physics SPH4U recommended",The Physical and Mathematical Universes (5),Science
CHM194H1 - Science and Human Values,"There is a tension between creativity and the search for truth, which in science can be looking for patterns in nature. With examples drawn particularly from reports of scientific discoveries that have generated controversy, this seminar course will introduce the underlying principles and history of science, as well as how science and its boundaries are evolving, and how these influence human values. Restricted to first-year students. Not available for CR/NCR option.",,The Physical and Mathematical Universes (5),Science
CHM195H1 - Innovative Teaching Methods in Chemistry,"Good teaching is effective communication that engages the audience. In this breadth course, we'll explore innovative teaching in science, through an examination of the nature of science, how scientific knowledge is built, and what makes certain concepts in science problematic to the learner. Students will read and discuss relevant articles in newsmagazines, popular science sources, and educational literature. They will design and deliver mini-lessons to communicate specified scientific concepts. As a major course project, students will develop a communication tool that integrates pedagogical know-how with leading-edge chemical discoveries to produce a teaching unit for use by Ontario teachers. Restricted to first-year students. Not available for CR/NCR option.",,"Thought, Belief and Behaviour (2)",Humanities
CHM196H1 - The Quantum World and Its Classical Limit,"This course seeks to demystify quantum mechanics and equip students to critically analyze popular depictions of quantum phenomena. While quantum mechanics provides a reliable description of the behavior of atoms, molecules and photons, most people are uncomfortable with some of its predictions, such as ""quantum entanglement"" between distant particles. In this course we will delve into key aspects of quantum mechanics and its more comfortable classical limit, focusing first on its manifestations in nature and then on fundamental issues such as uncertainty, interference, entanglement, and decoherence. This course will appeal to students with enthusiasm for physics. Restricted to first-year students. Not eligible for CR/NCR option.",,The Physical and Mathematical Universes (5),Science
CHM197H1 - Environmental Chemistry in a Sustainable World,"Rapid and widespread industrialization is changing the chemical nature of the planet. In order to have a sustainable future, we need to manage chemicals released by humankind, and to understand their effects on the environment and on us. Each year, this seminar course will address the fundamental science behind a specific topic in this field, such as the interactions of our energy choices and the environment, changes in water and air quality, or exposure to biologically-active synthetic chemicals such as pharmaceuticals or personal care products. Restricted to first-year students. Not eligible for CR/NCR option.",,The Physical and Mathematical Universes (5),Science
CHM198H1 - Biosensor Technology and Applications for the Non-Scientist,"This breadth course introduces uses of and key ideas behind biosensor technology. Sensors will be familiar to all, playing key roles in our everyday lives, for example in touch screens or in automotive technology. Biosensor devices are fabricated from an electrical transducer which is intimately connected to a biochemical probe such as an enzyme or antibody. The idea is that a detectable electrical signal can be obtained when a target molecule or ion binds to the probe. Such a device offers many applications. These range from the detection of biological markers in blood and serum to test for genetic and infectious disease, to the selective monitoring of biomolecules for public safety, or in biotechnology or other industrial processes. Restricted to first-year students. Not eligible for CR/NCR option.",,The Physical and Mathematical Universes (5),Science
"CHM199H1 - The Context of Chemistry: Origins, Concepts, Tools, and Challenges","Chemistry is a practical as well as a conceptual science that serves as the basis for applications in many other fields. The ideas and methods have evolved from diverse inputs leading to widely accepted sets of standard of facts. This collective knowledge has led to progress in the quality and understanding of life at a molecular level. While the facts of chemistry are taught in established courses, the context of what we know, the limitations and challenges of what chemistry can do and how we got to this point will be the targets for discovery by students in this course. The course will operate in a seminar model, combining presentations, readings, reports and discussions of current and historical issues. Restricted to first-year students. Not eligible for CR/NCR option.",,The Physical and Mathematical Universes (5),Science
