Course Names,descriptions,prereq,Breadth requirements,distribution requirements
JAL328H1 - Writing Systems,"Introduction to writing systems; their historical development, their relationship to language, and their role in culture and society. (Given by the Departments of Anthropology and Linguistics) (Not offered every year)",ANT100Y1/LIN101H1/LIN200H1,"Thought, Belief and Behaviour (2)",Social Science
JAL355H1 - Language and Gender,"An introduction to some of the principal questions of feminist theory, as viewed from sociolinguistics. Topics include: socialization into gendered discourse patterns, cultural and ethnic differences in gendered interactions; the role of language and gender in legal, medical and labour settings; multilingualism, migration, imperialism and nationalism; sexuality, desire and queer linguistics, language, gender and globalization.",1.0 credit at the 200-level in LIN/ANT/JAL/SOC/WGS,Society and its Institutions (3),Social Science
JAL401H1 - Field Linguistics,"Field Linguistics provides practice in language analysis based on elicited data from a native speaker of an indigenous or foreign language, emphasizing procedures and techniques. (Given by the Departments of Anthropology and Linguistics)",Completion of LIN322H1 and LIN331H1 or permission of the instructor,"Thought, Belief and Behaviour (2)",Social Science
JLP315H1 - Language Acquisition,"Infants’ abilities at birth, prelinguistic development, the first words, phonological, syntactic and semantic development. Social variables influencing language acquisition, bilingualism, models of development, language play. (Sponsored by the Departments of Linguistics and Psychology, but administered solely by the Dept. of Linguistics).",1.0 credit at the 200+ level in LIN/JAL/JUP/PSL/PSY/COG,"Thought, Belief and Behaviour (2)",Science
JLP374H1 - Psychology of Language,"In Psychology of Language, we investigate human and other animal communication, structure of human language, word meaning and semantic memory, psychological studies of syntax, bilingualism, language and thought, language errors and disorders. (Sponsored by the Departments of Linguistics and Psychology, but administered solely by the Dept. of Linguistics).","1.0 credit from LIN228H1, LIN229H1, LIN232H1, LIN241H1, PSY260H1, PSY270H1, PSY280H1, PSY290H1, COG250Y1","Thought, Belief and Behaviour (2)",Science
JLP471H1 - Advanced Psycholinguistics,"Seminar in advanced topics in psycholinguistics. Content varies from year to year. (Sponsored by the Departments of Linguistics and Psychology, but administered solely by the Dept. of Linguistics).",JLP374H1,"Thought, Belief and Behaviour (2)",Science
JLS472H1 - Child Language Disorders,"Students are introduced to the etiologies and characteristics of speech and language disorders in children, associated with autism, intellectual disabilities, and specific language impairment. Theoretical underpinnings of the major intervention approaches for children with speech and language disorders are discussed. (Given by the Departments of Linguistics and Speech Language Pathology)","LIN101H1, LIN102H1, LIN228H1, and 1.0 credit at the 300+ level",Living Things and Their Environment (4),Science
JLS473H1 - Adult Speech and Language Disorders,"Students are introduced to the etiologies and characteristics of speech and language disorders in adults, associated with aphasia, neurodegenerative disorders, and head injuries. The effects of communication handicaps on the individual and theoretical underpinnings of the major intervention approaches for adults are discussed. Given by the Departments of Linguistics and Speech Language Pathology. (Not offered every year)","LIN101H1,  LIN102H1, and 1.0 credit at the 300+ level",Living Things and Their Environment (4),Science
JLS475H1 - Literacy and Reading Disorders,"Literacy and Reading Disorders is an introduction to the typical development of emergent literacy skills, including oral language, phonological awareness, narratives, and emergent writing in children; a discussion of the effects of language disorders on emergent literacy skills; a survey of approaches to intervention for children’s emergent literacy skills. Given by the Departments of Linguistics and Speech Language Pathology. (Not offered every year)","LIN101H1, LIN102H1, and 1.0 credit at the 300+ level",Living Things and Their Environment (4),Science
JLS476H1 - Linguistics in the Workforce: Clinical Practice and Research,"This course exposes students to research and practical approaches in the context of health professions of relevance to linguistics students, especially audiology and speech-language pathology. Students learn about evidence-informed practice, research methodologies, practice approaches and theories in the health professions. Students will be poised to benefit from optional service learning placements during or following the course, in research laboratories or clinical settings. Successful completion of this course provides students with exposure and experience of use in their applications to audiology, speech-language pathology, and other clinical programs and in their future health or graduate studies. Not eligible for CR/NCR option. (Not offered every year).","LIN101H1, LIN102H1, and 1.0 credit at the 200+ level",Living Things and Their Environment (4),Science
