Course Names,descriptions,prereq,Breadth requirements,distribution requirements
MGY200H1 - An Introduction to Molecular Genetics and Microbiology,"Introduction to the core concepts of genetics and microbiology. Included are also topical biological problems and cutting-edge scientific approaches with some examples from world-class Toronto labs. Historical context is often used to deliver material. Topics include: core concepts in genetics, an introduction to cancer and stem cells; the genetic regulation of aging; core concepts in microbiology; emerging and recurring microbial threats; genetic engineering.","BIO120H1, BIO230H1/BIO255H1",Living Things and Their Environment (4),Science
MGY250H1 - Introduction to Medical Genetics,"An introduction to medical genetics including the “omics” revolution, stem cells, cancer genetics, finding disease-causing mutations, genetic counselling and gene therapy.  The course material is delivered online and is approximately equivalent to 36 lecture hours.  Midterm and final exam are taken on campus or at a pre-approved site off-campus.","BIO120H1, BIO130H1",Living Things and Their Environment (4),Science
MGY277H1 - Introduction to Medical Microbiology,"An online introductory survey course that explores the agents of infectious disease including bacteria, viruses, and parasites as well as the host immune response. Other topics include the fundamentals of disease diagnosis and epidemiology.  This course will use web-based delivery of lectures and tutorials and utilize a range of communication tools equivalent to approximately three lectures per week. The final exam will require student attendance on the St. George campus.","BIO120H1, BIO130H1",Living Things and Their Environment (4),Science
MGY280H1 - Second Year Specialist Research,This course gives students enrolled in the Molecular Genetics and Microbiology Specialist or Biochemistry Specialist program an opportunity to conduct an original research project in the second semester of their second year in a research laboratory in either of those Departments. Laboratory assignments are chosen during the first semester of second year by agreement with a Departmental faculty member and the Course Coordinator. Attendance at a weekly meeting is mandatory and students will present a report at the end of term. Details can be found on the departmental website. Not eligible for CR/NCR option.,Students cannot have completed more than 8.5 credits,Living Things and Their Environment (4),Science
MGY299Y1 - Research Opportunity Program,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,,,Science
MGY311Y1 - Molecular Biology,"This course examines the design and interpretation of experiments that have led to our current understanding of the biological roles of DNA, RNA and proteins. Intended for students considering graduate or professional work in molecular biology or a related field or wanting a deeper understanding of these topics.","BIO120H1, BIO230H1/BIO255H1, BCH242Y1 (Note: BCH210H1 may be acceptable with permission of instructor)",Living Things and Their Environment (4),Science
MGY314H1 - Principles of Genetic Analysis I,"Laboratory experiments in genetics, with the focus on microbial and prokaryotic genetics. Topics and experiments include mutagenesis and genetic selection, linkage and recombination, genetic crosses, gene regulation, suppressor analyses, and genetic mapping. (Lab Materials Fee: $25; Lab Manual Fee: $7)","BIO230H1/BIO255H1, BIO260H1/HMB265H1",Living Things and Their Environment (4),Science
MGY315H1 - Principles of Genetic Analysis II,"Laboratory experiments in eukaryotic genetics, using two of the most powerful eukaryotic model systems, the yeast Saccharomyces cerevisiae and fruit fly Drosophila melanogaster. The course follows MGY314H1; topics include analysis of genetic networks and pathways, meiotic segregation analysis, recombination mapping, genetic crosses, and phenotypic analyses. (Lab Materials Fee: $25; Lab Manual Fee: $20)","BIO230H1/BIO255H1, BIO260H1/HMB265H1, MGY314H1/MGY340H1",Living Things and Their Environment (4),Science
MGY340H1 - Molecular Genetics,"This course gives students an in-depth understanding of how genetics, the study of mutations and their resulting phenotypes, are used to probe and understand a variety of biological phenomena ranging from metabolism, to development, to cancer.","BIO120H1, BIO130H1, BIO230H1/BIO255H1, BIO260H1/HMB265H1",Living Things and Their Environment (4),Science
MGY350H1 - Model Organisms to Disease,"The concepts of genetics in the context of human development, disease and evolution. Topics include genetic interactions and complex traits, variation in disease phenotype, signalling and development, stem cells and epigenetic regulation.","BIO120H1, BIO230H1/BIO255H1, BIO260H1/HMB265H1",Living Things and Their Environment (4),Science
MGY360H1 - Whole-Genome Sequencing and Analysis Laboratory,"The principles and practice of whole-genome sequencing. Each student team will sequence an entire eukaryotic genome and analyze it. Topics will include: modern sequencing technology, yeast husbandry, genomic library construction and quality control, ‘next-generation’ sequencing, sequence assembly using a reference genome, principles of genome organization, mutation detection and interpretation.","BIO230H1/BIO255H1, BIO260H1/HMB265H1",Living Things and Their Environment (4),Science
