Course Names,descriptions,prereq,Breadth requirements,distribution requirements
PHL100Y1 - Introduction to Philosophy (Historical),"An introduction to the central branches of philosophy, such as logic, theory of knowledge, metaphysics, ethics, and political philosophy. Writings from the central figures in the history of Western and non-Western philosophy, as well as contemporary philosophers, may be considered.",,"Thought, Belief and Behaviour (2)",Humanities
PHL101Y1 - Introduction to Philosophy (Thematic),An introduction to some of the central problems of philosophy. Examples of questions that may be considered include: What is sound reasoning? What can we know? What is ultimately real? Is morality rational? Do humans have free will? Is there a God? What is consciousness? Should we fear death? What is justice?,,"Thought, Belief and Behaviour (2)",Humanities
"PHL196H1 - Multiculturalism, Philosophy and Film","This course will critically examine the role of cinema in the construction and exploration of the figure of the racial, ethnic, cultural and social ""other"". Our topics will include (1) racial, ethnic and cultural identity and its reciprocal relationship with cinema, (2) the notion of realism in relation to the representation of race and ethnicity in film, (3) the cinematic representation of inter-ethnic and intra-ethnic conflict, (4) the position of cinema in the debate between assimilation and multiculturalism, and (5) the ways in which cinema can help illuminate a cluster of relevant notions in political philosophy including citizenship, communitarianism, cosmopolitanism, and the relation between individual rights and group rights. Films will be screened in class and discussed against the background of focused critical readings. Restricted to first-year students. Not eligible for CR/NCR option.",,Creative and Cultural Representations (1),Humanities
PHL197H1 - Introduction to Philosophical Anthropology,"Philosophical anthropology is the subject that poses the most fundamental questions about human nature and the human condition. Taking as its point of departure the most up-to-date scientific understanding of human nature, from anthropology broadly conceived, it goes on to inquire, in a disciplined fashion, about the implications of these views for perennial philosophical questions about human rationality, morality, the possibility of progress, the existence of god and the meaning of life. This course will examine one or more topics in this domain, as a more general introduction to the discipline. Restricted to first-year students. Not eligible for CR/NCR option.",,"Thought, Belief and Behaviour (2)",Humanities
PHL198H1 - Philosophy of Time,"The passage of time is a fundamental aspect of human experience: we are born, we grow older, and eventually we pass away. During our lives our experience of the past, present, and future are distinct. We can influence the world in the present and the future, but it does not seem that we can influence the past. We have hopes about the future, memories of the past, and experiences of the present. In this seminar we will explore insights from contemporary philosophy and physics concerning the nature of the passage of time. Questions to be considered may include the following: What does it mean to say that time passes? Does time really pass at all? How do we experience time? Why can we influence the future but not the past? Is it possible to travel backward in time? Is time even real? What is time? Restricted to first-year students. Not eligible for CR/NCR option.",,The Physical and Mathematical Universes (5),Science
PHL199H1 - Ethics and Fiction,"The goal of this seminar is to investigate ethical questions via works of fiction, primarily novels. The idea is not to see fiction as a pedantic vehicle for ethical argument, but rather to consider how, and with what effect, fiction functions as an ethical medium. We will not judge characters as ‘likeable’ or ‘relatable’; rather, we will reflect on what fiction can teach us about the pressing challenges of choice and responsibility, and how it can (perhaps) enhance empathy.|The focus is on issues of individual identity and integrity: creating and maintaining oneself as a moral whole within environments hostile or indifferent to that end. All the works considered are novels or plays from the period between about 1900 and 2020—for convenience, the ‘modern’ and ‘postmodern’ ages, though we will query those notions. A running theme in the chosen readings is what is usually called ‘existential’ philosophy, but we will query the validity of that label as well. Restricted to first-year students. Not eligible for CR/NCR option.",,"Thought, Belief and Behaviour (2)",Humanities
PHL200Y1 - Ancient Philosophy,"Central texts of the pre-Socratics, Plato, Aristotle, and post-Aristotelian philosophy.",,"Thought, Belief and Behaviour (2)",Humanities
PHL201H1 - Introductory Philosophy,"An introduction to philosophy focusing on the connections among its main branches: logic, theory of knowledge, metaphysics, and ethics. This course is intended for those with little or no philosophy background but who have completed Year 1 in any area of study.",4.0 credits in any subject,"Thought, Belief and Behaviour (2)",Humanities
PHL205H1 - Early Medieval Philosophy,"A study of issues such as the relations of reason and faith, the being and the nature of God, and the problem of universals, in the writings of such philosophers as Augustine, Boethius, Anselm and Abelard.",,"Thought, Belief and Behaviour (2)",Humanities
PHL206H1 - Later Medieval Philosophy,"A study of issues such as the relations of reason and faith, the being and the nature of God, and the structure of the universe, in the writings of such philosophers as Aquinas and Ockham.",,"Thought, Belief and Behaviour (2)",Humanities
PHL210Y1 - 17th-and 18th-Century Philosophy,"Central texts of such philosophers as Hobbes, Descartes, Spinoza, Leibniz, Locke, Berkeley, Hume, and Kant.",,"Thought, Belief and Behaviour (2)",Humanities
PHL217H1 - Introduction to Continental Philosophy,"An introduction to some of the post-Hegelian thinkers who inspired the various philosophical movements broadly referred to as continental, such as phenomenology, existentialism, deconstruction, and post-modernism. Questions include the will, faith, death, existence, history and politics, rationality and its limits, encountering an other. Authors studied may include: Kierkegaard, Schopenhauer, Nietzsche, Marx, Freud, Heidegger, Sartre.",,"Thought, Belief and Behaviour (2)",Humanities
PHL232H1 - Knowledge and Reality,"An introduction to issues in the fundamental branches of philosophy: metaphysics, which considers the overall framework of reality; epistemology, or the theory of knowledge; and related problems in the philosophy of science. Topics in metaphysics may include: mind and body, causality, space and time, God, freedom and determinism; topics in epistemology may include perception, evidence, belief, truth, skepticism.",,"Thought, Belief and Behaviour (2)",Humanities
PHL233H1 - Philosophy for Scientists,"An introduction to philosophy tailored for students with backgrounds in mathematics and science. Topics include causation, explanation, the relation between scientific and mathematical theories and reality, the role of mathematics in scientific theories, the relevance of scientific and mathematical discoveries to ‘big’ traditional philosophical questions such as the nature of consciousness, whether we have free will, and the meaning of life.",,"Thought, Belief and Behaviour (2)",Humanities
PHL235H1 - Philosophy of Religion,"Some central issues in the philosophy of religion such as the nature of religion and religious faith, arguments for the existence of God, the problem of evil, varieties of religious experience, religion and human autonomy.",,"Thought, Belief and Behaviour (2)",Humanities
PHL237H1 - Introduction to Chinese Philosophy,"A historical introduction to Chinese philosophy, covering selected figures and texts from the Warring States period through the Qīng dynasty. Schools of thought covered include Confucianism, Mohism, Daoism, Legalism, ""Profound Learning,"" Neo-Confucianism, and ""Evidential Learning."" Texts and thinkers include the Confucian Analects, Mòzǐ, Mèngzǐ, Xúnzǐ, Dàodéjīng, Zhuāngzǐ, Hán Fēi, Guō Xiàng, Zhū Xī, Wáng Yángmíng, and Dài Zhèn.",,"Thought, Belief and Behaviour (2)",Humanities
PHL238H1 - Critical Reasoning,"The area of informal logic - the logic of ordinary language, usually non-deductive. Criteria for the critical assessment of arguments as strong or merely persuasive. Different types of arguments and techniques of refutation; their use and abuse.",,"Thought, Belief and Behaviour (2)",Humanities
