Course Names,descriptions,prereq,Breadth requirements,distribution requirements
ENV237H1 - Physics of the Changing Environment A,"The course will cover basic physics of environmental processes and of measurement techniques in the atmosphere, the ocean, lake-land-forest systems, and other biological systems. It will place its work in the context of climate change and other aspects of environmental change. This course is solely intended for students who have NOT completed a previous first year physics core course, who are in one of the following programs: Environmental Science Major or Minor, Environmental Geosciences Specialist or Earth and Environmental Systems Major.","MAT135H1/ MAT136H1/ MAT137Y1/ MAT157Y1/ JMB170Y1,  CHM136H1/ CHM138H1/ CHM135H1/ CHM139H1/ CHM151Y1",The Physical and Mathematical Universes (5),Science
ENV238H1 - Physics of the Changing Environment B,"The course will cover basic physics of environmental processes and of measurement techniques in the atmosphere, the ocean, lake-land-forest systems, and other biological systems. It will place its work in the context of climate change and other aspects of environmental change. This course is solely intended for students who have completed a previous first year physics core course, who are in one of the following programs: Environmental Science Major or Minor, Environmental Geosciences Specialist or Earth and Environmental Systems Major.","MAT135H1/ MAT136H1/ MAT137Y1/ MAT157Y1/ JMB170Y1,  CHM136H1/ CHM138H1/ CHM135H1/ CHM139H1/ CHM151Y1,  PHY131H1/ PHY132H1/ PHY151H1/ PHY152H1",The Physical and Mathematical Universes (5),Science
JPE395H1 - Physics of the Earth,"Designed for students interested in the physics of the Earth and the planets. Study of the Earth as a unified dynamic system; determination of major internal divisions in the planet; development and evolution of the Earth's large scale surface features through plate tectonics; the age and thermal history of the planet; Earth's gravitational field and the concept of isostasy; mantle rheology and convection; Earth tides; geodetic measurement techniques, in particular modern space-based techniques.","PHY132H1/PHY152H1/PHY180H1/MIE100H1, MAT235Y1/MAT237Y1/MAT291H1/AER210H1, PHY254H1/PHY293H1/MAT244H1/MAT267H1/MAT290H1/MAT292H1",The Physical and Mathematical Universes (5),Science
JPE493H1 - Seismology,"Why do earthquakes occur and how are they related to tectonic motion of the Earth's surface? What is the physics behind the propagation of seismic waves through the Earth, and how can it be used to determine the internal structures of the Earth? This introductory course is aimed at understanding the physics behind seismic wave propagation, as well as asymptotic and numerical solutions to the elastodynamic equation. Travel time and amplitude of seismic waves are discussed based on seismic ray theory, while numerical methods are introduced to obtain accurate solutions to more complex velocity structures. Seismic tomographic methods, including their applications to hydrocarbon reservoir imaging, are also covered.","JPE395H1, APM346H1/APM351Y1/MAT351Y1",The Physical and Mathematical Universes (5),Science
JPH311H1 - From Universal Gravity to Quantum Information: The Making of Modern Physics,"Topics in the history of physics from antiquity to the 20th century, including Aristotelian physics, Galileo, Descartes, electromagnetism, thermodynamics, statistical mechanics, relativity, quantum physics, and particle physics. The development of theories in their intellectual and cultural contexts.",At least a 0.5 credit PHY course at university level,The Physical and Mathematical Universes (5),"Humanities, Science"
JPH441H1 - Physical Science in Contemporary Society,"This course will discuss the complex, real-life, ethical, and philosophical issues behind how science gets done, including questions such as how we as scientists strive to determine the truth; who determines what science is done, and on what basis; how we as a community manage science and make decisions about education, authorship, publication, hiring, et cetera (including issues related to equity, inclusivity, and diversity); and how we as a society fund science and apply its discoveries.","PHY224H1/ PHY250H1/ PHY252H1/ PHY254H1/ PHY256H1, or by permission of the instructor.",Society and its Institutions (3),Humanities
PHY100H1 - The Magic of Physics,"This course provides a survey of Physics, including both Classical and Modern Physics. It is designed for non-scientists, and assumes no background in either science or mathematics. The approach to the course is broad rather than deep. We will concentrate on the concepts underlying such fascinating topics as planetary motion, chaos, the nature of light, time travel, black holes, matter waves, Schrodinger's cat, quarks, and climate change. We will uncover the wonders of the classical and the quantum worlds courtesy of Galileo, Newton, Maxwell, Einstein, Heisenberg and many others.|(PHY100H1 is primarily intended as a Breadth Requirement course for students in the Humanities and Social Science)",,The Physical and Mathematical Universes (5),Science
PHY131H1 - Introduction to Physics I,"A first university physics course primarily for students not intending to pursue a Specialist or Major program in Physical or Mathematical Sciences. Topics include: classical kinematics & dynamics, momentum, energy, force, friction, work, power, angular momentum, oscillations, waves, sound.",,The Physical and Mathematical Universes (5),Science
PHY132H1 - Introduction to Physics II,"The second university physics course primarily for students not intending to pursue a Specialist or Major program in Physical or Mathematical Sciences. Topics include: electricity, magnetism, light, optics, special relativity.",PHY131H1/PHY151H1,The Physical and Mathematical Universes (5),Science
PHY151H1 - Foundations of Physics I,"The first physics course in many of the Specialist and Major Programs in Physical Sciences. It provides an introduction to the concepts, approaches and tools the physicist uses to describe the physical world while laying the foundation for classical and modern mechanics. Topics include: mathematics of physics, energy, momentum, conservation laws, kinematics, dynamics, and special relativity.",MCV4U Calculus & Vectors / MCB4U Functions & Calculus; SPH4U Physics,The Physical and Mathematical Universes (5),Science
PHY152H1 - Foundations of Physics II,"The concept of fields will be introduced and discussed in the context of gravity and electricity. Topics include rotational motion, oscillations, waves, electricity and magnetism.",PHY131H1/PHY151H1/PHY180H1,The Physical and Mathematical Universes (5),Science
PHY196H1 - Emergence in Nature,"The universe is not a rigid clockwork, but neither is it formless and random. Instead, it is filled with highly organized, evolved structures that have somehow emerged from simple rules of physics. Examples range from the structure of galaxies to the pattern of ripples on windblown sand, to biological and even social processes. These phenomena exist in spite of the universal tendency towards disorder. How is this possible? Self-organization challenges the usual reductionistic scientific method, and begs the question of whether we can ever really understand or predict truly complex systems. Restricted to first-year students. Not eligible for CR/NCR.","No prior experience with physical science will be required, but familiarity with Grade 10 mathematics will be assumed.",The Physical and Mathematical Universes (5),Science
PHY197H1 - Modern Physics for the Curious,"Have you wondered about the origin and workings of the natural world around us? Have you found physical science interesting but inaccessible because it was too full of math and jargon? Have you felt a pull to become more science-literate? If so, this seminar course is for you -- or for anyone interested in understanding more about the universe, including our planet, seen through the lens of modern physics. Ideas on the menu will include: particle physics, space and time, relativity, black holes, quantum physics, unification forces, string theory, and big bang cosmology. The intriguing story of these integrated phenomena unfolds over a wide distance and a long time. Students from diverse academic backgrounds are warmly welcome. Restricted to first-year students. Not eligible for CR/NCR option.","No prior experience with physical science will be required, but familiarity with Grade 10 mathematics will be assumed.",The Physical and Mathematical Universes (5),Science
PHY198H1 - Physics at the Cutting Edge,"A limited enrollment seminar course for First Year Science students interested in current research in Physics. Students will meet active researchers studying the universe from the centre of the earth to the edge of the cosmos. Topics may range from string theory to experimental biological physics, from climate change to quantum computing, from superconductivity to earthquakes. The course may involve both individual and group work, essays and oral presentations. Restricted to first-year students. Not eligible for CR/NCR option.",PHY151H1,The Physical and Mathematical Universes (5),Science
